Carrozzeria,id_annuncio,Alimentazione,Tipo di cambio,Tipo di veicolo,Marca,Modello,Porte,Tipo di unita,Cilindrata,Posti a sedere,Cilindri,Colore esterno,Marce,Classe emissioni,Emissioni di CO2,Consumo carburante,Colore originale,Rivestimenti,Tipo di vernice,Peso a vuoto,Usato Garantito,Proprietari,Per neopatentati,Veicolo per non fumatori,Anno,Tagliandi certificati
City car,32a14746-0454-4f46-a837-13381342096b,Diesel,Automatico,KM0,Volkswagen,Polo,5,anteriore,1598,5,4,Argento,6,,103 g CO2/km (comb.),"3,9 l/100 km (comb.)
4,3 l/100 km (urbano)
3,7 l/100 km (extraurbano)",,"Altro, Altro",,,Sì,,,,2020,
City car,0a8bb1a3-f677-48cd-bf0b-2967f9bf3be2,Diesel,Automatico,KM0,Volkswagen,Polo,5,anteriore,1598,5,4,Bianco,6,,103 g CO2/km (comb.),"3,9 l/100 km (comb.)
4,3 l/100 km (urbano)
3,7 l/100 km (extraurbano)",,"Altro, Altro",,,Sì,,,,2020,
City car,ab27eb05-6c5b-4969-99a7-d9c191d91d37,Diesel,Automatico,KM0,Volkswagen,Polo,5,anteriore,1598,5,4,Grigio,6,,103 g CO2/km (comb.),"3,9 l/100 km (comb.)
4,3 l/100 km (urbano)
3,7 l/100 km (extraurbano)",,"Altro, Altro",,,Sì,,,,2020,
City car,129dacb9-efb9-40f0-8d30-8cf57d6390b1,Diesel,Automatico,KM0,Volkswagen,Polo,5,anteriore,1598,5,,Nero,,,103 g CO2/km (comb.),"3,9 l/100 km (comb.)
4,3 l/100 km (urbano)
3,7 l/100 km (extraurbano)",Nero,"Altro, Nero",Base,,,,,,2020,
City car,7d441039-fdea-4807-ae4f-710b1f9bd7b2,Diesel,Automatico,KM0,Volkswagen,Polo,5,anteriore,1598,5,,Nero,,,103 g CO2/km (comb.),"3,9 l/100 km (comb.)
4,3 l/100 km (urbano)
3,7 l/100 km (extraurbano)",Nero,"Altro, Nero",Base,,,,,,2020,
City car,d3c7ee55-2798-4e98-802a-5fe5aa09c112,Diesel,Manuale,KM0,Fiat,Fullback,,,,,,Grigio,,,,,NERO ETNA,"Pelle totale, Grigio",Metallizzato,,,,,,2020,
City car,cc10e269-8553-4cd7-8d3d-1c35235bd9ef,Diesel,Automatico,KM0,Volkswagen,Touran,5,anteriore,1968,7,,Grigio,,,119 g CO2/km (comb.),"5,6 l/100 km (comb.)
6,9 l/100 km (urbano)
4,5 l/100 km (extraurbano)",Argento,"Altro, Nero",Base,,,,,,2020,
City car,cc2aeecf-cb41-4e48-9869-80f3f8a7f80a,Diesel,Manuale,KM0,Alfa Romeo,MiTo,3,anteriore,1248,5,4,Grigio,5,Euro 6,89 g CO2/km (comb.),"3,4 l/100 km (comb.)
4,3 l/100 km (urbano)
2,9 l/100 km (extraurbano)",GRIGIO ARDESIA,"Stoffa, Nero",Metallizzato,1225,,1,,Sì,2017,
City car,241d4c81-4562-485d-988c-35c80a8ca58c,Diesel,Manuale,KM0,Opel,Astra,5,anteriore,1499,5,3,Grigio,5,Euro 6,90 g CO2/km (comb.),"4 l/100 km (comb.)
3 l/100 km (urbano)
3 l/100 km (extraurbano)",YOU DRIVE ME GRAZY,"Stoffa, Grigio",Metallizzato,,24 mese,,,,2020,
City car,ae187fa0-3f56-451c-b7f7-04e4cdf62f39,Diesel,Manuale,KM0,Opel,Astra,5,anteriore,1499,5,3,Grigio,5,Euro 6,90 g CO2/km (comb.),"4 l/100 km (comb.)
3 l/100 km (urbano)
3 l/100 km (extraurbano)",YOU DRIVE ME GRAZY,"Stoffa, Grigio",Metallizzato,,24 mese,,,,2020,
City car,b7fa5910-8605-41a2-a351-bb55cd645cae,Diesel,Automatico,KM0,Volkswagen,Sharan,5,anteriore,1968,7,,Nero,,Euro 6,137 g CO2/km (comb.),"5,2 l/100 km (comb.)
5,9 l/100 km (urbano)
4,7 l/100 km (extraurbano)",Nero pastello,,Base,,,,,,2020,
City car,312841c7-182f-4b1b-9d5b-d068b16b3206,Diesel,Manuale,KM0,Volkswagen,Polo,5,anteriore,1598,5,4,Nero,5,,97 g CO2/km (comb.),"3,7 l/100 km (comb.)
4,2 l/100 km (urbano)
3,4 l/100 km (extraurbano)",,"Altro, Altro",,,Sì,,,,2020,
City car,a6d6fb37-6cac-47fa-b9cd-f4ab5ab61c66,Diesel,Automatico,KM0,Volkswagen,Polo,5,anteriore,1598,5,4,Grigio,6,,103 g CO2/km (comb.),"3,9 l/100 km (comb.)
4,3 l/100 km (urbano)
3,7 l/100 km (extraurbano)",,"Altro, Altro",,,Sì,,,,2020,
City car,efa6e5fa-ddbd-481a-89b9-7529d33d55e4,Diesel,Manuale,KM0,Peugeot,208,5,anteriore,1560,5,4,Grigio,5,Euro 6,90 g CO2/km (comb.),"3,5 l/100 km (comb.)
3,9 l/100 km (urbano)
3,2 l/100 km (extraurbano)",,"Pelle scamosciata, Grigio",Metallizzato,,,1,,,2019,
City car,83a0f33a-ba9f-4d96-820c-d23e31fa38e5,Diesel,Manuale,KM0,Nissan,Micra,5,anteriore,1461,5,4,Argento,5,,,,Argento,"Stoffa, Grigio",Metallizzato,,Sì,,,,2018,
City car,1376b1ee-193f-4cc3-9fc7-36adf7116828,Diesel,Manuale,KM0,Nissan,Micra,5,anteriore,1498,5,4,Grigio,5,,,,Grigio,,Metallizzato,,,,,,2019,
City car,e550dcff-3ee2-4c6e-b01e-5e9ca4a2cbbb,Diesel,Manuale,KM0,Fiat,500,3,anteriore,1248,4,4,Nero,5,Euro 6,89 g CO2/km (comb.),"3,4 l/100 km (comb.)
4,1 l/100 km (urbano)
3 l/100 km (extraurbano)",Nero,"Pelle parziale, Grigio",Metallizzato,980,,,,Sì,2019,
City car,b8f9080e-7f42-4c2e-9650-b13571f1dc63,Diesel,Manuale,KM0,Volkswagen,Polo,5,anteriore,1598,5,4,Bianco,5,,97 g CO2/km (comb.),"3,7 l/100 km (comb.)
4,2 l/100 km (urbano)
3,4 l/100 km (extraurbano)",,"Altro, Altro",,,Sì,,,,2020,
City car,95d26a5b-767b-42dc-93b1-ccee3f317bde,Diesel,Manuale,KM0,Volkswagen,Polo,5,anteriore,1598,5,4,Argento,5,,97 g CO2/km (comb.),"3,7 l/100 km (comb.)
4,2 l/100 km (urbano)
3,4 l/100 km (extraurbano)",,"Altro, Altro",,,Sì,,,,2019,
City car,f49a7a79-2f39-4088-bd21-b29a3e1af01a,Diesel,Automatico,KM0,BMW,116,5,anteriore,1500,,,Bianco,7,,,,,"Pelle parziale, Nero",,,Sì,,,,2020,Sì
City car,4f0c9432-cdd2-4450-aca4-ab5395cbcfa5,Diesel,Manuale,KM0,Fiat,500L,5,anteriore,1300,5,4,Marrone,,Euro 6,,,BRONZO DONATELLO,"Stoffa, Nero",Base,,24 mese,,,,2019,
City car,97bc090b-5166-41be-b100-7b8833690334,Diesel,Manuale,KM0,Volkswagen,Polo,5,anteriore,1598,5,4,Bianco,5,,99 g CO2/km (comb.),"3,8 l/100 km (comb.)
4,2 l/100 km (urbano)
3,5 l/100 km (extraurbano)",,"Altro, Altro",,,Sì,,,,2020,
City car,6c1dfc0b-b84e-4151-bc1e-35b8c806c0f0,Diesel,Manuale,KM0,Peugeot,208,5,anteriore,1560,5,4,Nero,5,Euro 6,90 g CO2/km (comb.),"3,5 l/100 km (comb.)
3,9 l/100 km (urbano)
3,2 l/100 km (extraurbano)",,Nero,,,,,,,2020,
City car,aa9ebb4f-8ba6-4a59-842c-b2d75f9a54c3,Diesel,Manuale,KM0,Alfa Romeo,MiTo,3,anteriore,1248,5,4,Rosso,5,Euro 6,89 g CO2/km (comb.),"3,4 l/100 km (comb.)
4,3 l/100 km (urbano)
2,9 l/100 km (extraurbano)",Rosso,"Stoffa, Nero",Base,1225,,,,,2017,
City car,8d737845-4831-42d3-b827-2b677b8ec061,Diesel,Manuale,KM0,Opel,Astra,5,,1598,5,4,Grigio,6,,,"3,5 l/100 km (comb.)
4 l/100 km (urbano)
3,3 l/100 km (extraurbano)",,Stoffa,,,,1,,,2019,
City car,30792a8a-b6b2-4d23-979b-ed222523e980,Diesel,Automatico,KM0,Volkswagen,,5,anteriore,1968,5,,Beige,,,155 g CO2/km (comb.),,BEIGE,"Altro, Nero",Base,,,1,,,2019,
City car,27c40587-dab7-425c-9d39-a78c70157ecb,Diesel,Manuale,KM0,Volkswagen,Polo,5,anteriore,1598,5,4,Argento,5,,99 g CO2/km (comb.),"3,8 l/100 km (comb.)
4,2 l/100 km (urbano)
3,5 l/100 km (extraurbano)",,"Altro, Altro",,,Sì,,,,2020,
City car,3d5a141a-59de-492d-8917-17e91e8bd1e3,Diesel,Manuale,KM0,MINI,One D,3,anteriore,1496,4,,Verde,,Euro 6,99 g CO2/km (comb.),"3,8 l/100 km (comb.)
4,3 l/100 km (urbano)
3,4 l/100 km (extraurbano)",BRITISH RACING GREEN,"Altro, Altro",Base,,,,,,2019,
City car,054bb3c9-580a-4eb0-aef2-39d5b443a3a5,Diesel,Automatico,KM0,MINI,Cooper D,5,anteriore,1496,5,,Blu/Azzurro,,Euro 6,103 g CO2/km (comb.),"3,9 l/100 km (comb.)
4,4 l/100 km (urbano)
3,6 l/100 km (extraurbano)",LAPISLUXURY BLUE MINI YOURS,"Altro, Altro",Base,,,,,,2019,
City car,bf682ac9-9907-4741-aaa1-fc453e34d57a,Diesel,Manuale,KM0,MINI,Cooper,3,anteriore,1496,4,3,Blu/Azzurro,6,Euro 6,102 g CO2/km (comb.),"3,9 l/100 km (comb.)
4,4 l/100 km (urbano)
3,6 l/100 km (extraurbano)",Blu,"Stoffa, Nero",Metallizzato,1240,36 mese,,,,2018,
City car,c5e386e3-949b-46bf-8d14-a3e954476ae8,Diesel,Automatico,KM0,BMW,218,5,anteriore,1995,5,,Bianco,,,116 g CO2/km (comb.),"4,3 l/100 km (comb.)
5,2 l/100 km (urbano)
3,8 l/100 km (extraurbano)",ALPINWEISS III PASTELLO,"Altro, Altro",Base,,,,,,,
City car,d5ddee7e-fd48-4a02-b585-96b8186717a7,Diesel,Automatico,KM0,BMW,218,5,anteriore,1995,7,,Grigio,,,121 g CO2/km (comb.),"4,6 l/100 km (comb.)
5,3 l/100 km (urbano)
4,2 l/100 km (extraurbano)",MINERAL GRAU METALLIZZATO,"Altro, Altro",Metallizzato,,,,,,,
City car,b4c23848-2709-4534-9934-d5f11938edef,Diesel,Automatico,KM0,MINI,Cooper D,3,anteriore,1500,,,Nero,7,Euro 6,,,,"Pelle totale, Nero",,,Sì,1,,,2019,Sì
City car,1eb5cfdd-5ef8-4f47-bd3f-1dac302fb7e3,Diesel,Automatico,KM0,SEAT,Leon,5,anteriore,1598,5,4,Grigio,7,Euro 6,108 g CO2/km (comb.),"4,1 l/100 km (comb.)
4,3 l/100 km (urbano)
4 l/100 km (extraurbano)",,"Stoffa, Nero",Metallizzato,,,,,,2019,
Cabrio,be294c24-cfc4-4ab3-a0a4-40a10c179d2c,Diesel,Automatico,KM0,BMW,420,2,posteriore,1995,4,4,Nero,8,,134 g CO2/km (comb.),"5,1 l/100 km (comb.)
5,9 l/100 km (urbano)
4,6 l/100 km (extraurbano)",Nero,Pelle totale,Metallizzato,1825,Sì,,,,2019,
Cabrio,1f3f227b-5320-4aae-b6cc-03b56365a470,Diesel,Automatico,KM0,BMW,420,2,posteriore,1995,4,4,Bianco,8,Euro 6,138 g CO2/km (comb.),"5,2 l/100 km (comb.)
6,2 l/100 km (urbano)
4,7 l/100 km (extraurbano)",Bianco,"Pelle totale, Nero",,1825,Sì,,,,2019,
Cabrio,bd6857fa-6585-49bb-99ab-a5b991be2306,Diesel,Automatico,KM0,BMW,420,2,posteriore,1995,4,4,Bianco,8,Euro 6,138 g CO2/km (comb.),"5,2 l/100 km (comb.)
6,2 l/100 km (urbano)
4,7 l/100 km (extraurbano)",Bianco,"Pelle totale, Nero",Base,1825,Sì,,,,2019,
Cabrio,2adfbb82-c045-43e2-82f6-631719418747,Diesel,Automatico,KM0,BMW,420,2,posteriore,1995,4,4,Nero,8,,134 g CO2/km (comb.),"5,1 l/100 km (comb.)
5,9 l/100 km (urbano)
4,6 l/100 km (extraurbano)",Nero,Pelle totale,Metallizzato,1825,Sì,,,,2019,
Cabrio,25df9043-c7eb-4de2-82eb-a32fc775568b,Diesel,Automatico,KM0,Jeep,Wrangler,5,4x4,2143,5,4,Nero,8,,192 g CO2/km (comb.),"7,6 l/100 km (comb.)
9,6 l/100 km (urbano)
6,5 l/100 km (extraurbano)",,"Pelle totale, Altro",,,24 mese,,,,2020,
Cabrio,c2f1884d-4bda-438a-8dc1-be35895970f9,Diesel,Automatico,KM0,Mercedes-Benz,C 220,2,4x4,2143,4,4,Nero,9,Euro 6,136 g CO2/km (comb.),"5,2 l/100 km (comb.)
6,1 l/100 km (urbano)
4,9 l/100 km (extraurbano)",Nero,"Pelle totale, Nero",Metallizzato,,,,,,2020,
Cabrio,16c361dd-dcd9-40af-97a6-b2628ebcc4d3,Diesel,Automatico,KM0,BMW,218,2,posteriore,1995,4,4,Nero,8,Euro 6,123 g CO2/km (comb.),"4,7 l/100 km (comb.)
5,4 l/100 km (urbano)
4,4 l/100 km (extraurbano)",BLACK SAPPHIRE METALLIZZATO,"Stoffa, Grigio",Metallizzato,1640,,,,,2020,
Cabrio,7e24ea08-3e05-4edd-8270-5aee6518e294,Diesel,Automatico,KM0,BMW,218,2,posteriore,1995,4,4,Nero,8,Euro 6,123 g CO2/km (comb.),"4,7 l/100 km (comb.)
5,4 l/100 km (urbano)
4,4 l/100 km (extraurbano)",BLACK SAPPHIRE METALLIZZATO,"Stoffa, Grigio",Metallizzato,1640,,,,,2020,
Cabrio,52292af3-a45e-43e8-b2f8-2933fb4ab2c7,Diesel,Automatico,KM0,MINI,Cooper SD Cabrio,3,anteriore,1995,4,4,Argento,8,Euro 6,114 g CO2/km (comb.),"4,4 l/100 km (comb.)
4,9 l/100 km (urbano)
4,1 l/100 km (extraurbano)",Vari colori,"Pelle totale, Nero",Metallizzato,1380,24 mese,,,,2020,
Cabrio,c96f0ec0-e2c1-4735-96d7-958abbee67f5,Diesel,Automatico,KM0,Audi,A5,2,4x4,1968,4,4,Nero,7,Euro 6,137 g CO2/km (comb.),"5,1 l/100 km (comb.)
5,9 l/100 km (urbano)
4,7 l/100 km (extraurbano)",Nero,"Pelle parziale, Nero",Metallizzato,1835,48 mese,1,,Sì,2019,Sì
Cabrio,0a9a8353-7fe2-46c2-a9d1-3dc094a6be8b,Diesel,Automatico,KM0,Audi,A5,2,4x4,1968,4,4,Nero,7,Euro 6,137 g CO2/km (comb.),"5,1 l/100 km (comb.)
5,9 l/100 km (urbano)
4,7 l/100 km (extraurbano)",Nero,"Pelle parziale, Nero",Metallizzato,1835,48 mese,1,,Sì,2019,Sì
Cabrio,e047113b-3f4d-43b9-a79d-1d7f13459b00,Diesel,Automatico,KM0,Mercedes-Benz,C 220,2,4x4,1950,4,4,Nero,9,Euro 6,136 g CO2/km (comb.),"5,2 l/100 km (comb.)
6,1 l/100 km (urbano)
4,9 l/100 km (extraurbano)",Nero,"Pelle totale, Nero",Metallizzato,,,,,,2020,
Cabrio,53ed7b9b-33ef-4eef-aa5e-03c89d241f92,Diesel,Automatico,KM0,Audi,A5,2,anteriore,1968,6,4,Blu/Azzurro,7,Euro 6,118 g CO2/km (comb.),"4,5 l/100 km (comb.)
5,2 l/100 km (urbano)
4,1 l/100 km (extraurbano)",Blu Navarra met. / Grigio,"Stoffa, Nero",Metallizzato,,,1,,,2019,
Cabrio,25be7125-cee8-4235-95a6-1ec9d87c722c,Diesel,Automatico,KM0,BMW,218,2,posteriore,1995,4,,Bianco,,,123 g CO2/km (comb.),"4,7 l/100 km (comb.)
5,4 l/100 km (urbano)
4,4 l/100 km (extraurbano)",ALPIN WHITE PASTELLO,"Pelle totale, Nero",Base,,,,,,2020,
Cabrio,558b5c4f-57c4-4de6-b587-3b32810c7ab3,Diesel,Automatico,KM0,Audi,A5,2,4x4,1968,4,4,Nero,7,Euro 6,138 g CO2/km (comb.),"5,1 l/100 km (comb.)
5,9 l/100 km (urbano)
4,7 l/100 km (extraurbano)",Nero Brillante Nero,Nero,,1835,12 mese,,,,2020,
Cabrio,0be1b139-4e72-40ed-91f0-1c5c95907837,Diesel,Automatico,KM0,MINI,Cooper D Cabrio,3,anteriore,1496,4,,Bianco,,Euro 6,111 g CO2/km (comb.),"4,2 l/100 km (comb.)
4,8 l/100 km (urbano)
3,9 l/100 km (extraurbano)",PEPPER WHITE,"Pelle totale, Altro",Base,,,,,,2020,
Cabrio,e81ad191-d6fe-4e8d-9be7-afc7e453b9e4,Diesel,Automatico,KM0,Audi,A5,2,anteriore,1968,4,4,Bianco,7,,123 g CO2/km (comb.),"4,6 l/100 km (comb.)
5,2 l/100 km (urbano)
4,3 l/100 km (extraurbano)",,"Pelle totale, Altro",Metallizzato,,,1,,,2019,
Cabrio,440aa214-e9da-4e03-a518-27f5c6774435,Diesel,Automatico,KM0,Mercedes-Benz,C 220,2,4x4,2143,4,4,Grigio,9,Euro 6,136 g CO2/km (comb.),"5,2 l/100 km (comb.)
6,1 l/100 km (urbano)
4,9 l/100 km (extraurbano)",Grigio,"Pelle totale, Nero",Metallizzato,,,,,,2020,
Cabrio,533bde6b-8d54-4624-84e6-3f4d3f008253,Diesel,Automatico,KM0,MINI,Cooper D Cabrio,3,anteriore,1496,4,,Grigio,,Euro 6,111 g CO2/km (comb.),"4,2 l/100 km (comb.)
4,8 l/100 km (urbano)
3,9 l/100 km (extraurbano)",WHITE SILVER MET.,"Pelle totale, Altro",Metallizzato,,,,,,2020,
Cabrio,4259c3e1-36ea-4816-b444-0eb5c400b468,Diesel,Automatico,KM0,MINI,Cooper D Cabrio,3,anteriore,1496,4,3,Grigio,6,Euro 6,111 g CO2/km (comb.),"4,2 l/100 km (comb.)
4,8 l/100 km (urbano)
3,9 l/100 km (extraurbano)",GRIGIO METALLIZZATO,,Metallizzato,1320,Sì,1,,,2020,
Cabrio,5ec5f4b0-fbeb-4d36-82ad-6cde2f56d4f2,Diesel,Automatico,KM0,Mercedes-Benz,C 220,2,4x4,2143,4,4,Nero,9,Euro 6d-TEMP,136 g CO2/km (comb.),"5,2 l/100 km (comb.)
6,4 l/100 km (urbano)
4,5 l/100 km (extraurbano)",Nero Ossidiana,"Pelle parziale, Nero",Metallizzato,1805,24 mese,1,,,2020,
Cabrio,a0dc9261-07f1-4382-9b26-215cec7a8f44,Diesel,Manuale,KM0,Audi,A3,2,anteriore,1598,4,4,Bianco,6,Euro 6,110 g CO2/km (comb.),"4,2 l/100 km (comb.)
4,7 l/100 km (urbano)
3,9 l/100 km (extraurbano)",,"Stoffa, Altro",,,Sì,,,,2019,
Cabrio,ec8b61d3-dc5f-4a54-9fed-6870b69021ed,Diesel,Automatico,KM0,Audi,A5,2,4x4,1968,6,4,Nero,7,Euro 6d-TEMP,138 g CO2/km (comb.),"5,1 l/100 km (comb.)
5,9 l/100 km (urbano)
4,7 l/100 km (extraurbano)",,"Pelle totale, Altro",Metallizzato,,,1,,,2019,
Cabrio,01d788ac-d5d2-4ba5-877c-7dcac0e4097b,Diesel,Automatico,KM0,MINI,Cooper D Cabrio,3,anteriore,1496,4,3,,6,Euro 6,111 g CO2/km (comb.),"4,2 l/100 km (comb.)
4,8 l/100 km (urbano)
3,9 l/100 km (extraurbano)",,,Metallizzato,1320,,1,,,2019,
Cabrio,19e480ff-c5fa-4580-9e9c-a4cf679d3d97,Diesel,Automatico,KM0,BMW,840,2,4x4,2993,4,6,Nero,8,Euro 6,155 g CO2/km (comb.),"5,9 l/100 km (comb.)
7,3 l/100 km (urbano)
5,1 l/100 km (extraurbano)",SAPHIRSCHWARZ METALLIZZATO,"Pelle totale, Marrone",Metallizzato,2030,,1,,,2020,
Cabrio,43f11a3f-164c-4273-a12a-dd604809c23e,Diesel,Automatico,KM0,MINI,Cooper SD Cabrio,3,anteriore,1995,4,4,Grigio,8,Euro 6,114 g CO2/km (comb.),"4,4 l/100 km (comb.)
4,9 l/100 km (urbano)
4,1 l/100 km (extraurbano)",White Silver,"Pelle totale, Nero",Metallizzato,1380,24 mese,,,,2020,
Cabrio,ba6d3fe4-c8d6-4262-b434-c6d71bc8e53f,Diesel,Manuale,KM0,BMW,420,2,posteriore,1995,4,4,Bianco,6,Euro 6,134 g CO2/km (comb.),"5,1 l/100 km (comb.)
5,9 l/100 km (urbano)
4,6 l/100 km (extraurbano)",BIANCO,,Metallizzato,1825,,1,,,2020,
Cabrio,6009011c-8987-44bf-9896-911e53421215,Diesel,Automatico,KM0,BMW,840,2,4x4,2993,4,6,Grigio,8,Euro 6,161 g CO2/km (comb.),"6,2 l/100 km (comb.)
7,4 l/100 km (urbano)
5,4 l/100 km (extraurbano)",Grigio,"Pelle totale, Bianco",Metallizzato,2030,,,,,2019,
Cabrio,ed7e7679-b902-4efb-9418-333665c79323,Diesel,Automatico,KM0,BMW,435,2,4x4,2993,4,6,Bianco,8,Euro 6,168 g CO2/km (comb.),"6,4 l/100 km (comb.)
7,7 l/100 km (urbano)
5,6 l/100 km (extraurbano)",ALPIN WHITE PASTELLO,"Pelle totale, Blu/Azzurro",Metallizzato,1980,,1,,,2020,
