,Carrozzeria,id_annuncio,Alimentazione,Tipo di veicolo,Anno,Marca,Modello,Porte,Posti a sedere,Tipo di cambio,Tipo di unita,Colore esterno,Emissioni di CO2,Rivestimenti,Colore originale,Tipo di vernice,Marce,Peso a vuoto,Usato Garantito,Per neopatentati,Proprietari,Cilindrata,Classe emissioni,Cilindri,Veicolo per non fumatori,Consumo carburante,Tagliandi certificati,seller,vehicle,country,address,conditional_on_price,price,link_annuncio,vehicle_user_desc,median,discount,variazione_su_mediana,equal_or_lower
2044,SUV/Fuoristrada/Pick-up,a620fd4e-a209-4ef5-b927-1932814fd3d6,Diesel,KM0,2020.0,Dacia,Duster,5.0,5.0,Manuale,4x4,Bianco,118 g CO2/km (comb.),Stoffa,Bianco,,6.0,,,,,1461.0,Euro 6,4.0,,"4,5 l/100 km (comb.)
4,9 l/100 km (urbano)
4,2 l/100 km (extraurbano)",,Gruppo Carmeli SpA,Dacia Duster,Responsabile Commerciale,IT,12,20100,https://www.autoscout24.it/annunci/dacia-duster-1-5-blue-dci-115cv-4x4-prestige-nuova-da-immatri-diesel-bianco-a620fd4e-a209-4ef5-b927-1932814fd3d6?cldtidx=12&cldtsrc=listPage,"1.5 Blue dCi 115CV 4X4 Prestige , NUOVA DA IMMATRI",17164.5,-2935.5,-4185.5,0
2045,SUV/Fuoristrada/Pick-up,8469bcff-9dda-4b13-8f3f-55e218e81a51,Diesel,KM0,2020.0,Dacia,Duster,5.0,5.0,Manuale,anteriore,Grigio,108 g CO2/km (comb.),Stoffa,Grigio,,6.0,,,,,1461.0,Euro 6,4.0,,"4,1 l/100 km (comb.)
4,6 l/100 km (urbano)
3,8 l/100 km (extraurbano)",,Gruppo Carmeli SpA,Dacia Duster,IT,25030 Coccaglio - Brescia - Bs,12,18300,https://www.autoscout24.it/annunci/dacia-duster-1-5-blue-dci-115cv-prestige-nuova-da-immatricola-diesel-grigio-8469bcff-9dda-4b13-8f3f-55e218e81a51?cldtidx=13&cldtsrc=listPage,"1.5 Blue dCi 115CV Prestige , NUOVA DA IMMATRICOLA",17164.5,-1135.5,-2385.5,0
2046,SUV/Fuoristrada/Pick-up,0b6636e3-83e4-49f3-a7d7-53d2aec2619f,Diesel,KM0,2020.0,Dacia,Duster,5.0,5.0,Manuale,anteriore,Bianco,108 g CO2/km (comb.),Stoffa,Bianco,,6.0,,,,,1461.0,Euro 6,4.0,,"4,2 l/100 km (comb.)
4,7 l/100 km (urbano)
3,9 l/100 km (extraurbano)",,Gruppo Carmeli SpA,Dacia Duster,IT,25030 Coccaglio - Brescia - Bs,12,17000,https://www.autoscout24.it/annunci/dacia-duster-1-5-blue-dci-115cv-comfort-nuova-da-immatricolar-diesel-bianco-0b6636e3-83e4-49f3-a7d7-53d2aec2619f?cldtidx=16&cldtsrc=listPage,"1.5 Blue dCi 115CV Comfort , NUOVA DA IMMATRICOLAR",17164.5,164.5,-1085.5,0
2047,SUV/Fuoristrada/Pick-up,de2ec862-e788-4ad0-a852-fe290fca42e9,Diesel,KM0,2020.0,Dacia,Duster,5.0,5.0,Manuale,anteriore,Arancione,108 g CO2/km (comb.),Stoffa,Arancione,,6.0,,,,,1461.0,Euro 6,4.0,,"4,2 l/100 km (comb.)
4,7 l/100 km (urbano)
3,9 l/100 km (extraurbano)",,Gruppo Carmeli SpA,Dacia Duster,IT,25030 Coccaglio - Brescia - Bs,12,17300,https://www.autoscout24.it/annunci/dacia-duster-1-5-blue-dci-115cv-comfort-nuova-da-immatricolar-diesel-arancione-de2ec862-e788-4ad0-a852-fe290fca42e9?cldtidx=19&cldtsrc=listPage,"1.5 Blue dCi 115CV Comfort , NUOVA DA IMMATRICOLAR",17164.5,-135.5,-1385.5,0
2048,SUV/Fuoristrada/Pick-up,d0ad367a-b7d7-411f-8a77-8b06267e6cef,Diesel,KM0,2020.0,Dacia,Duster,5.0,5.0,Manuale,anteriore,Grigio,110 g CO2/km (comb.),Stoffa,Grigio,,6.0,,,,,1461.0,Euro 6,4.0,,"4,2 l/100 km (comb.)
4,7 l/100 km (urbano)
3,9 l/100 km (extraurbano)",,Gruppo Carmeli SpA,Dacia Duster,IT,25030 Coccaglio - Brescia - Bs,12,17650,https://www.autoscout24.it/annunci/dacia-duster-1-5-blue-dci-115cv-techroad-nuova-da-immatricola-diesel-grigio-d0ad367a-b7d7-411f-8a77-8b06267e6cef?cldtidx=1&cldtsrc=listPage,"1.5 Blue dCi 115CV Techroad , NUOVA DA IMMATRICOLA",17164.5,-485.5,-1735.5,0
2049,SUV/Fuoristrada/Pick-up,d4e6840d-4502-407d-a8f1-3b2e8ba1455a,Diesel,KM0,2020.0,Dacia,Duster,5.0,5.0,Manuale,,Blu/Azzurro,115 g CO2/km (comb.),,Blu scuro,Metallizzato,6.0,,24 mese,,,1461.0,Euro 6,4.0,,"4,4 l/100 km (comb.)
4,8 l/100 km (urbano)
4,1 l/100 km (extraurbano)",,Autobase Srl,Dacia Duster,IT,35020 Albignasego Ã¢Â€Â“ Padova - Pd,12,15900,https://www.autoscout24.it/annunci/dacia-duster-1-5-blue-dci-comfort-4x2-s-s-115cv-my19-diesel-blu-azzurro-d4e6840d-4502-407d-a8f1-3b2e8ba1455a?cldtidx=5&cldtsrc=listPage,1.5 blue dci Comfort 4x2 s&s 115cv my19,17164.5,1264.5,14.5,0
2050,Altro,aebc3624-7f0e-4718-9c31-64bf51a579af,Diesel,KM0,2019.0,Dacia,Duster,5.0,5.0,Manuale,,Blu/Azzurro,108 g CO2/km (comb.),"Stoffa, Nero",BLU MINISTERIALE,,6.0,1398.0,24 mese,,1.0,1461.0,Euro 6d-TEMP,4.0,,"4,1 l/100 km (comb.)
4,6 l/100 km (urbano)
3,8 l/100 km (extraurbano)",,Max Motors di Cortinovis Massimo,Dacia Duster,IT,24050 Zanica - Bergamo - Bg,41,16000,https://www.autoscout24.it/annunci/dacia-duster-1-5-blue-dci-8v-115-cv-4x2-comfor-nuova-diesel-blu-azzurro-aebc3624-7f0e-4718-9c31-64bf51a579af?cldtidx=7&cldtsrc=listPage,1.5 Blue dCi 8V 115 CV 4x2 Comfor NUOVA,17164.5,1164.5,-85.5,0
2051,SUV/Fuoristrada/Pick-up,b2d7ea1a-3563-4b9d-a259-dd3e7049ae3b,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Bianco,133 g CO2/km (comb.),"Pelle parziale, Nero",Bianco,Base,6.0,1320.0,24 mese,,,999.0,Euro 6d-TEMP,3.0,,"5,8 l/100 km (comb.)
7 l/100 km (urbano)
5 l/100 km (extraurbano)",,Bcar Srl,Fiat 500X,IT,12038 Savigliano - Cuneo - Cn,41,21300,https://www.autoscout24.it/annunci/fiat-500x-1-0-t3-120cv-gpl-sport-led-navi-18-cross-key-gpl-bianco-b2d7ea1a-3563-4b9d-a259-dd3e7049ae3b?cldtidx=2&cldtsrc=listPage,"1.0 T3 120CV GPL Sport +LED +Navi+""18 Cross +KEY",18980.0,-2320.0,-3570.0,0
2052,SUV/Fuoristrada/Pick-up,4193658f-bcd5-4d0d-8019-251de1a1538e,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Nero,133 g CO2/km (comb.),,Nero,,6.0,,,,,999.0,Euro 6,3.0,,"5,8 l/100 km (comb.)
7 l/100 km (urbano)
5 l/100 km (extraurbano)",,Marinelli Motor by Mbl Motors,Fiat 500X,IT,45026 Lendinara - Rovigo,41,21800,https://www.autoscout24.it/annunci/fiat-500x-1-0-t3-120-cv-sport-gpl-landi-renzo-gpl-nero-4193658f-bcd5-4d0d-8019-251de1a1538e?cldtidx=19&cldtsrc=listPage,1.0 T3 120 CV Sport + GPL LANDI RENZO,18980.0,-2820.0,-4070.0,0
2053,SUV/Fuoristrada/Pick-up,bdb077d5-8a89-4944-aa9b-3cf2f97cb8c8,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Nero,133 g CO2/km (comb.),"Pelle parziale, Nero",Nero,Base,6.0,1320.0,24 mese,,,999.0,Euro 6d-TEMP,3.0,,"5,8 l/100 km (comb.)
7 l/100 km (urbano)
5 l/100 km (extraurbano)",,Bcar Srl,Fiat 500X,IT,12038 Savigliano - Cuneo - Cn,12,20600,https://www.autoscout24.it/annunci/fiat-500x-1-0-t3-120cv-gpl-sport-full-led-navi-18-cross-gpl-nero-bdb077d5-8a89-4944-aa9b-3cf2f97cb8c8?cldtidx=3&cldtsrc=listPage,"1.0 T3 120CV GPL Sport +FULL LED +Navi+""18 Cross",18980.0,-1620.0,-2870.0,0
2054,SUV/Fuoristrada/Pick-up,be633afb-7506-440f-9316-619f61986b0d,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Grigio,130 g CO2/km (comb.),"Pelle parziale, Nero",Grigio scuro,Metallizzato,6.0,1320.0,24 mese,,,999.0,Euro 6d-TEMP,3.0,,"5,4 l/100 km (comb.)
6,8 l/100 km (urbano)
4,6 l/100 km (extraurbano)",SÃƒÂ¬,Bcar Srl,Fiat 500X,IT,12038 Savigliano - Cuneo - Cn,2,19200,https://www.autoscout24.it/annunci/fiat-500x-1-0-120cv-gpl-lounge-16-anniver-carplay-cross-gpl-grigio-be633afb-7506-440f-9316-619f61986b0d?cldtidx=4&cldtsrc=listPage,"1.0 120CV GPL Lounge +""16 ANNIVER. /CarPLAY CROSS",18980.0,-220.0,-1470.0,0
2055,SUV/Fuoristrada/Pick-up,491a316a-3b7b-4418-a783-8f9d447cc3c0,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Grigio,130 g CO2/km (comb.),"Pelle parziale, Nero",Grigio scuro,Metallizzato,6.0,1320.0,24 mese,,,999.0,Euro 6d-TEMP,3.0,,"5,4 l/100 km (comb.)
6,8 l/100 km (urbano)
4,6 l/100 km (extraurbano)",SÃƒÂ¬,Bcar Srl,Fiat 500X,IT,12038 Savigliano - Cuneo - Cn,2,19200,https://www.autoscout24.it/annunci/fiat-500x-1-0-120cv-gpl-lounge-16-anniver-carplay-cross-gpl-grigio-491a316a-3b7b-4418-a783-8f9d447cc3c0?cldtidx=5&cldtsrc=listPage,"1.0 120CV GPL Lounge +""16 ANNIVER. /CarPLAY CROSS",18980.0,-220.0,-1470.0,0
2056,SUV/Fuoristrada/Pick-up,944a39ae-1b3b-451f-ba5e-52afa89cd0e2,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Bianco,133 g CO2/km (comb.),"Pelle parziale, Nero",Bianco,Base,6.0,1320.0,24 mese,,,999.0,Euro 6d-TEMP,3.0,,"5,8 l/100 km (comb.)
7 l/100 km (urbano)
5 l/100 km (extraurbano)",,Bcar Srl,Fiat 500X,IT,12038 Savigliano - Cuneo - Cn,12,20600,https://www.autoscout24.it/annunci/fiat-500x-1-0-t3-120cv-gpl-sport-full-led-navi-18-cross-gpl-bianco-944a39ae-1b3b-451f-ba5e-52afa89cd0e2?cldtidx=6&cldtsrc=listPage,"1.0 T3 120CV GPL Sport +FULL LED +Navi+""18 Cross",18980.0,-1620.0,-2870.0,0
2057,SUV/Fuoristrada/Pick-up,402ab9ee-b24f-4f44-8098-3cfefc5f67c4,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Blu/Azzurro,131 g CO2/km (comb.),,Blu,,6.0,,20 mese,,,999.0,Euro 6,,,"5,7 l/100 km (comb.)",,Menardi Auto Group Srl,Fiat 500X,IT,12100 Bernezzo - Cuneo,12,21000,https://www.autoscout24.it/annunci/fiat-500x-1-0-gpl-t3-120cv-sport-19-camera-gpl-brc-gpl-blu-azzurro-402ab9ee-b24f-4f44-8098-3cfefc5f67c4?cldtidx=7&cldtsrc=listPage,"1.0 GPL T3 120cv Sport 19""+CAMERA+GPL BRC",18980.0,-2020.0,-3270.0,0
2058,SUV/Fuoristrada/Pick-up,805bfb84-078f-4135-a045-b56758fdaef9,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Nero,133 g CO2/km (comb.),"Pelle parziale, Nero",Nero,Metallizzato,6.0,1320.0,24 mese,,,999.0,Euro 6,3.0,,"5,8 l/100 km (comb.)
7 l/100 km (urbano)
5 l/100 km (extraurbano)",,Panoramauto Torino srl,Fiat 500X,IT,10156 Torino - To,12,18900,https://www.autoscout24.it/annunci/fiat-500x-1-0-t3-120-cv-sport-gpl-gpl-nero-805bfb84-078f-4135-a045-b56758fdaef9?cldtidx=10&cldtsrc=listPage,1.0 T3 120 CV Sport GPL,18980.0,80.0,-1170.0,0
2059,SUV/Fuoristrada/Pick-up,10c5f4bd-4ad8-415a-9367-26c914c6d596,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Verde,133 g CO2/km (comb.),"Stoffa, Grigio",Verde,Metallizzato,6.0,1320.0,24 mese,,1.0,999.0,Euro 6,3.0,SÃƒÂ¬,"5,8 l/100 km (comb.)
7 l/100 km (urbano)
5 l/100 km (extraurbano)",SÃƒÂ¬,Panoramauto Torino srl,Fiat 500X,IT,10156 Torino - To,12,16900,https://www.autoscout24.it/annunci/fiat-500x-1-0-t3-120-cv-urban-gpl-gpl-verde-10c5f4bd-4ad8-415a-9367-26c914c6d596?cldtidx=13&cldtsrc=listPage,1.0 T3 120 CV Urban GPL,18980.0,2080.0,830.0,0
2060,SUV/Fuoristrada/Pick-up,9fe5a5f6-4468-4954-bc9e-05b8601a8843,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Bianco,133 g CO2/km (comb.),"Stoffa, Grigio",Bianco,Metallizzato,6.0,1320.0,24 mese,,1.0,999.0,Euro 6,3.0,SÃƒÂ¬,"5,8 l/100 km (comb.)
7 l/100 km (urbano)
5 l/100 km (extraurbano)",SÃƒÂ¬,Panoramauto Torino srl,Fiat 500X,IT,10156 Torino - To,12,16900,https://www.autoscout24.it/annunci/fiat-500x-1-0-t3-120-cv-urban-gpl-gpl-bianco-9fe5a5f6-4468-4954-bc9e-05b8601a8843?cldtidx=14&cldtsrc=listPage,1.0 T3 120 CV Urban GPL,18980.0,2080.0,830.0,0
2061,SUV/Fuoristrada/Pick-up,d7e3d799-1777-4ccc-8115-41d62ef6653a,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Nero,133 g CO2/km (comb.),"Stoffa, Grigio",Nero,Metallizzato,6.0,1320.0,24 mese,,1.0,999.0,Euro 6,3.0,SÃƒÂ¬,"5,8 l/100 km (comb.)
7 l/100 km (urbano)
5 l/100 km (extraurbano)",SÃƒÂ¬,Panoramauto Torino srl,Fiat 500X,IT,10156 Torino - To,12,16900,https://www.autoscout24.it/annunci/fiat-500x-1-0-t3-120-cv-urban-gpl-gpl-nero-d7e3d799-1777-4ccc-8115-41d62ef6653a?cldtidx=15&cldtsrc=listPage,1.0 T3 120 CV Urban GPL,18980.0,2080.0,830.0,0
2062,SUV/Fuoristrada/Pick-up,3d553fee-eaae-418c-9e32-1d87a0255ede,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Blu/Azzurro,133 g CO2/km (comb.),"Stoffa, Grigio",Blu,Metallizzato,6.0,1320.0,24 mese,,1.0,999.0,Euro 6,3.0,SÃƒÂ¬,"5,8 l/100 km (comb.)
7 l/100 km (urbano)
5 l/100 km (extraurbano)",SÃƒÂ¬,Panoramauto Torino srl,Fiat 500X,IT,10156 Torino - To,12,16900,https://www.autoscout24.it/annunci/fiat-500x-1-0-t3-120-cv-urban-gpl-gpl-blu-azzurro-3d553fee-eaae-418c-9e32-1d87a0255ede?cldtidx=16&cldtsrc=listPage,1.0 T3 120 CV Urban GPL,18980.0,2080.0,830.0,0
2063,SUV/Fuoristrada/Pick-up,c36b383a-9321-4029-9a79-6a38f0057dec,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Grigio,133 g CO2/km (comb.),"Pelle parziale, Nero",Grigio scuro,Metallizzato,6.0,1320.0,24 mese,,,999.0,Euro 6,3.0,,"5,8 l/100 km (comb.)
7 l/100 km (urbano)
5 l/100 km (extraurbano)",,Panoramauto Torino srl,Fiat 500X,IT,10156 Torino - To,12,18900,https://www.autoscout24.it/annunci/fiat-500x-1-0-t3-120-cv-sport-gpl-gpl-grigio-c36b383a-9321-4029-9a79-6a38f0057dec?cldtidx=17&cldtsrc=listPage,1.0 T3 120 CV Sport GPL,18980.0,80.0,-1170.0,0
2064,SUV/Fuoristrada/Pick-up,94866005-9747-48c5-926e-05c629cbb795,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Grigio,133 g CO2/km (comb.),Nero,Grigio scuro,Metallizzato,6.0,1320.0,24 mese,,,999.0,Euro 6,3.0,,"5,8 l/100 km (comb.)
7 l/100 km (urbano)
5 l/100 km (extraurbano)",,Panoramauto Torino srl,Fiat 500X,Reparto vendite,IT,12,16950,https://www.autoscout24.it/annunci/fiat-500x-1-0-t3-120-cv-lounge-gpl-gpl-grigio-94866005-9747-48c5-926e-05c629cbb795?cldtidx=18&cldtsrc=listPage,1.0 T3 120 CV Lounge GPL,18980.0,2030.0,780.0,0
2065,SUV/Fuoristrada/Pick-up,9913ccbb-9c45-46a5-8708-53aeb5668423,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Bianco,133 g CO2/km (comb.),"Pelle parziale, Nero",Bianco,Base,6.0,1320.0,24 mese,,,999.0,Euro 6,3.0,,"5,8 l/100 km (comb.)
7 l/100 km (urbano)
5 l/100 km (extraurbano)",,Tecno Trade Srl,Fiat 500X,IT,30038 Spinea - Venezia - Ve,12,17990,https://www.autoscout24.it/annunci/fiat-500x-1-0-t3-gpl-lounge-gpl-bianco-9913ccbb-9c45-46a5-8708-53aeb5668423?cldtidx=3&cldtsrc=listPage,1.0 T3 GPL Lounge,18980.0,990.0,-260.0,0
2066,SUV/Fuoristrada/Pick-up,da4fdb80-1d03-4800-8860-abc2dcc16e96,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Nero,133 g CO2/km (comb.),"Pelle parziale, Nero",Nero,Base,6.0,1320.0,24 mese,,,999.0,Euro 6d-TEMP,3.0,,"5,8 l/100 km (comb.)
7 l/100 km (urbano)
5 l/100 km (extraurbano)",,Bcar Srl,Fiat 500X,IT,12038 Savigliano - Cuneo - Cn,12,19200,https://www.autoscout24.it/annunci/fiat-500x-1-0-120cv-120-gpl-anniversario-full-led-cross-gpl-nero-da4fdb80-1d03-4800-8860-abc2dcc16e96?cldtidx=4&cldtsrc=listPage,1.0 120CV 120Ã‚Â° GPL Anniversario Full LED Cross,18980.0,-220.0,-1470.0,0
2067,SUV/Fuoristrada/Pick-up,84c18d73-2be6-4f1b-94de-f59b9380f9e5,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Bianco,133 g CO2/km (comb.),"Pelle parziale, Nero",BIANCO TETTO NERO,Base,6.0,1320.0,24 mese,,,999.0,Euro 6,3.0,,"5,8 l/100 km (comb.)
7 l/100 km (urbano)
5 l/100 km (extraurbano)",,Tecno Trade Srl,Fiat 500X,IT,30038 Spinea - Venezia - Ve,12,21490,https://www.autoscout24.it/annunci/fiat-500x-1-0-gpl-120-cv-sport-cerchi19-gpl-bianco-84c18d73-2be6-4f1b-94de-f59b9380f9e5?cldtidx=17&cldtsrc=listPage,1.0 GPL 120 CV Sport#CERCHI19,18980.0,-2510.0,-3760.0,0
2068,SUV/Fuoristrada/Pick-up,e96c873d-b4d8-4aec-bf79-25897dea71f4,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Blu/Azzurro,133 g CO2/km (comb.),"Stoffa, Nero",Blu Jeans Opaco,,6.0,1320.0,,,1.0,999.0,Euro 6d-TEMP,3.0,SÃƒÂ¬,"5,8 l/100 km (comb.)
7 l/100 km (urbano)
5 l/100 km (extraurbano)",,Autoingros Corso Regina,Fiat 500X,IT,10124 Torino - TO,41,21900,https://www.autoscout24.it/annunci/fiat-500x-1-0-t3-120-cv-mirror-cross-impianto-gpl-gpl-blu-azzurro-e96c873d-b4d8-4aec-bf79-25897dea71f4?cldtidx=14&cldtsrc=listPage,1.0 T3 120 CV Mirror Cross + IMPIANTO GPL,18980.0,-2920.0,-4170.0,0
2069,SUV/Fuoristrada/Pick-up,e10fc1df-ef45-4ac7-96a4-ad828cb68965,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Blu/Azzurro,133 g CO2/km (comb.),,Azzurro,Metallizzato,6.0,,,,1.0,999.0,Euro 6,3.0,,"5,8 l/100 km (comb.)
7 l/100 km (urbano)
5 l/100 km (extraurbano)",,Molin Auto Srl,Fiat 500X,IT,37132 Verona - Vr,12,21900,https://www.autoscout24.it/annunci/fiat-500x-1-0-t3-120-cv-sport-gpl-blu-azzurro-e10fc1df-ef45-4ac7-96a4-ad828cb68965?cldtidx=2&cldtsrc=listPage,1.0 T3 120 CV Sport,18980.0,-2920.0,-4170.0,0
2070,SUV/Fuoristrada/Pick-up,102f7e64-d213-4c4d-9c42-ead9883240ca,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Verde,133 g CO2/km (comb.),"Pelle parziale, Nero",Verde,Base,6.0,1320.0,24 mese,,,999.0,Euro 6d-TEMP,3.0,,"5,8 l/100 km (comb.)
7 l/100 km (urbano)
5 l/100 km (extraurbano)",,RSAutomobili srl,Fiat 500X,IT,30034 Mira - Venezia,12,22592,https://www.autoscout24.it/annunci/fiat-500x-1-0-t3-120-cv-s-design-cross-pack-city-gpl-gpl-verde-102f7e64-d213-4c4d-9c42-ead9883240ca?cldtidx=5&cldtsrc=listPage,1.0 T3 120 CV S-DESIGN CROSS#PACK CITY#GPL,18980.0,-3612.0,-4862.0,0
2071,SUV/Fuoristrada/Pick-up,2a76cd4c-e307-4707-afe2-a501c635ee30,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Grigio,154 g CO2/km (comb.),"Stoffa, Nero",GRIGIO MODA,,5.0,1275.0,24 mese,,1.0,1598.0,Euro 6d-TEMP,4.0,SÃƒÂ¬,"6,7 l/100 km (comb.)
8,4 l/100 km (urbano)
5,8 l/100 km (extraurbano)",,Pianeta Auto srls,Fiat 500X,IT,41012 Carpi - Modena,2,20900,https://www.autoscout24.it/annunci/fiat-500x-1-0-bz-gpl-120-cv-city-cross-km0-full-optional-gpl-grigio-2a76cd4c-e307-4707-afe2-a501c635ee30?cldtidx=17&cldtsrc=listPage,1.0 BZ/GPL 120 CV CITY CROSS KM0 - FULL OPTIONAL,18980.0,-1920.0,-3170.0,0
2072,SUV/Fuoristrada/Pick-up,5af8e921-98ef-430d-b37b-c0090c2e9493,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Nero,154 g CO2/km (comb.),"Stoffa, Nero",NERO CINEMA,,5.0,1275.0,24 mese,,1.0,1598.0,Euro 6d-TEMP,4.0,SÃƒÂ¬,"6,7 l/100 km (comb.)
8,4 l/100 km (urbano)
5,8 l/100 km (extraurbano)",,Pianeta Auto srls,Fiat 500X,IT,41012 Carpi - Modena,2,20500,https://www.autoscout24.it/annunci/fiat-500x-1-6-bz-gpl-110-cv-city-cross-km0-gpl-nero-5af8e921-98ef-430d-b37b-c0090c2e9493?cldtidx=20&cldtsrc=listPage,1.6 BZ/GPL 110 CV CITY CROSS - KM0,18980.0,-1520.0,-2770.0,0
2073,SUV/Fuoristrada/Pick-up,777b9f7d-b7f8-4cf3-85b3-2753b076e30c,GPL,KM0,2019.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Bianco,133 g CO2/km (comb.),"Pelle parziale, Nero",Bianco,Base,6.0,1320.0,24 mese,,,999.0,Euro 6d-TEMP,3.0,,"5,8 l/100 km (comb.)
7 l/100 km (urbano)
5 l/100 km (extraurbano)",,RSAutomobili srl,Fiat 500X,IT,30034 Mira - Venezia,12,22290,https://www.autoscout24.it/annunci/fiat-500x-fiat-500x-1-0-t3-120-cv-sport-gplpostvendita-gpl-bianco-777b9f7d-b7f8-4cf3-85b3-2753b076e30c?cldtidx=4&cldtsrc=listPage,FIAT 500X 1.0 T3 120 CV Sport #GPLPOSTVENDITA,18980.0,-3310.0,-4560.0,0
2074,Station wagon,31072a09-c8d5-4a20-8cf9-0602a4a12f7a,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Bianco,154 g CO2/km (comb.),"Pelle parziale, Nero",,,5.0,1275.0,,,1.0,1248.0,Euro 6d-TEMP,4.0,,"6,7 l/100 km (comb.)
8,4 l/100 km (urbano)
5,8 l/100 km (extraurbano)",,LD. Car Torino srl,Fiat 500X,IT,10154 Torino - To,12,18900,https://www.autoscout24.it/annunci/fiat-500x-1-0-t3-120-cv-sport-c-19-gpl-landi-gpl-bianco-31072a09-c8d5-4a20-8cf9-0602a4a12f7a?cldtidx=5&cldtsrc=listPage,"1.0 T3 120 CV SPORT C.19"" GPL LANDI",18980.0,80.0,-1170.0,0
2075,Station wagon,83fb8fc1-4804-4826-b8ba-451e3ea20904,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Nero,154 g CO2/km (comb.),"Pelle parziale, Nero",,Metallizzato,5.0,1275.0,,,1.0,1248.0,Euro 6d-TEMP,4.0,,"6,7 l/100 km (comb.)
8,4 l/100 km (urbano)
5,8 l/100 km (extraurbano)",,LD. Car Torino srl,Fiat 500X,IT,10154 Torino - To,12,18900,https://www.autoscout24.it/annunci/fiat-500x-1-0-t3-120-cv-sport-c-19-gpl-landi-gpl-nero-83fb8fc1-4804-4826-b8ba-451e3ea20904?cldtidx=6&cldtsrc=listPage,"1.0 T3 120 CV SPORT C.19"" GPL LANDI",18980.0,80.0,-1170.0,0
2076,Station wagon,655181e8-fd40-40dc-9668-e48ff72d78a8,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Grigio,154 g CO2/km (comb.),"Pelle parziale, Nero",,Metallizzato,5.0,1275.0,,,1.0,1248.0,Euro 6d-TEMP,4.0,,"6,7 l/100 km (comb.)
8,4 l/100 km (urbano)
5,8 l/100 km (extraurbano)",,LD. Car Torino srl,Fiat 500X,IT,10154 Torino - To,12,18900,https://www.autoscout24.it/annunci/fiat-500x-1-0-t3-120-cv-sport-c-19-gpl-landi-gpl-grigio-655181e8-fd40-40dc-9668-e48ff72d78a8?cldtidx=7&cldtsrc=listPage,"1.0 T3 120 CV SPORT C.19"" GPL LANDI",18980.0,80.0,-1170.0,0
2077,Station wagon,a518d3a6-c673-4357-9dd2-939c05ab339c,GPL,KM0,2020.0,Fiat,500X,5.0,5.0,Manuale,anteriore,Blu/Azzurro,154 g CO2/km (comb.),"Stoffa, Nero",,,5.0,1275.0,,,1.0,1248.0,Euro 6d-TEMP,4.0,,"6,7 l/100 km (comb.)
8,4 l/100 km (urbano)
5,8 l/100 km (extraurbano)",,LD. Car Torino srl,Fiat 500X,IT,10154 Torino - To,12,18500,https://www.autoscout24.it/annunci/fiat-500x-1-0-e6d-120-cv-cross-gpl-landi-gpl-blu-azzurro-a518d3a6-c673-4357-9dd2-939c05ab339c?cldtidx=8&cldtsrc=listPage,1.0 E6D 120 CV CROSS GPL LANDI,18980.0,480.0,-770.0,0
