Carrozzeria,id_annuncio,Alimentazione,Tipo di cambio,Tipo di veicolo,Marca,Modello,Porte,Tipo di unità,Cilindrata,Posti a sedere,Cilindri,Colore esterno,Marce,Classe emissioni,Consumo carburante,Colore originale,Rivestimenti,Tipo di vernice,Peso a vuoto,Usato Garantito,Proprietari,Veicolo per non fumatori,Anno,Tagliandi certificati
SUV/Fuoristrada/Pick-up,1288637b-e7ec-42b6-aca4-dafd4ebd27d2,Diesel,Automatico,Nuovo,Ford,Ranger,4,4x4,1997,5,4,Bianco,9,Euro 6d-TEMP,"7,8 l/100 km (comb.)
9,8 l/100 km (urbano)
6,7 l/100 km (extraurbano)",Bianco Frozen,"Pelle parziale, Nero",,2063,24 mese,0,,,
SUV/Fuoristrada/Pick-up,7169a17c-36af-4a82-b61f-a082668365e5,Diesel,Automatico,Nuovo,Ford,Ranger,4,4x4,1997,5,4,Grigio,9,Euro 6d-TEMP,"7,8 l/100 km (comb.)
9,8 l/100 km (urbano)
6,7 l/100 km (extraurbano)",Conquer Grey,"Pelle parziale, Nero",Metallizzato,2063,24 mese,0,,,
SUV/Fuoristrada/Pick-up,bb10b14b-3f5a-423d-b97c-63a753879642,Diesel,Automatico,Nuovo,Ford,Ranger,4,4x4,1997,5,4,Blu/Azzurro,9,Euro 6d-TEMP,"7,8 l/100 km (comb.)
9,8 l/100 km (urbano)
6,7 l/100 km (extraurbano)",Performance Blue,"Pelle parziale, Nero",Metallizzato,2063,24 mese,0,,,
SUV/Fuoristrada/Pick-up,e2f6aa61-f597-44dc-8a5c-cfdf3976d2e6,Diesel,Manuale,Nuovo,Fiat,500X,5,anteriore,1248,5,4,Bianco,5,Euro 6,"4,1 l/100 km (comb.)
4,6 l/100 km (urbano)
3,8 l/100 km (extraurbano)",bianco gelato,,Base,,,,,,
SUV/Fuoristrada/Pick-up,4f588260-e80b-4e75-be0f-e949c37a435b,Diesel,Manuale,Nuovo,Fiat,500X,5,anteriore,1248,5,4,Rosso,5,Euro 6,"4,2 l/100 km (comb.)
5,2 l/100 km (urbano)
3,5 l/100 km (extraurbano)",ROSSO PASSIONE,,Base,,,,,,
SUV/Fuoristrada/Pick-up,3b4b4a92-013d-4fe3-9f07-cac1bbf2d10a,Diesel,Automatico,Nuovo,Fiat,500X,5,anteriore,1598,5,4,Grigio,6,Euro 6,,GRIGIO MODA TETTO NERO,,Metallizzato,,,,,,
SUV/Fuoristrada/Pick-up,56b43795-72d7-44dd-83e1-2ff66950096a,Diesel,Manuale,Nuovo,Fiat,500X,5,anteriore,1248,5,4,Bianco,5,Euro 6,"4,2 l/100 km (comb.)
5,2 l/100 km (urbano)
3,5 l/100 km (extraurbano)",bianco gelato,,Base,,,,,,
SUV/Fuoristrada/Pick-up,3e028ae7-86a9-4753-9044-4fe2cf1f8ea6,Diesel,Manuale,Nuovo,Fiat,500X,5,anteriore,1248,5,4,Argento,5,Euro 6,"4,2 l/100 km (comb.)
5,2 l/100 km (urbano)
3,5 l/100 km (extraurbano)",GRIGIO ARGENTO,,Metallizzato,,,,,,
SUV/Fuoristrada/Pick-up,ed7eb9c0-eca7-466b-aaa3-68d03e0a1810,Diesel,Automatico,Nuovo,Fiat,500X,5,anteriore,1598,5,4,Rosso,6,Euro 6,,Rosso/Tetto Nero,,Base,,,,,,
SUV/Fuoristrada/Pick-up,ee6e620a-894b-4ea2-be9a-f1cafc54b3ab,Diesel,Manuale,Nuovo,Fiat,500X,5,anteriore,1248,5,4,Blu/Azzurro,6,Euro 6,,blu italia,,Base,,,,,,
SUV/Fuoristrada/Pick-up,f01c3903-57f7-45c3-abe4-f0b1977b35c7,Diesel,Manuale,Nuovo,Fiat,500X,5,anteriore,1248,5,4,Blu/Azzurro,5,Euro 6,"4,2 l/100 km (comb.)
5,2 l/100 km (urbano)
3,5 l/100 km (extraurbano)",blu italia,,Base,,,,,,
SUV/Fuoristrada/Pick-up,cb8f3467-dd2a-48aa-b043-0ad8b7e0a447,Diesel,Automatico,Nuovo,Ford,Ranger,4,4x4,1996,5,4,Arancione,9,Euro 6d-TEMP,"7,8 l/100 km (comb.)
9,8 l/100 km (urbano)
6,7 l/100 km (extraurbano)",Sabre,"Pelle parziale, Nero",Metallizzato,2063,24 mese,0,,,
SUV/Fuoristrada/Pick-up,380130c2-de84-48c1-a6ac-3ca42b6f10c0,Diesel,Automatico,Nuovo,Ford,Ranger,4,4x4,1996,5,4,Bianco,9,Euro 6,"7,8 l/100 km (comb.)
9,8 l/100 km (urbano)
6,7 l/100 km (extraurbano)",Frozen White,"Pelle totale, Nero",,2230,24 mese,,,,
SUV/Fuoristrada/Pick-up,ab3fdb05-88a3-43bc-97f4-3420ebf8f95e,Diesel,Automatico,Nuovo,Ford,Ranger,4,4x4,1997,5,4,Bianco,9,Euro 6,"7,8 l/100 km (comb.)
9,8 l/100 km (urbano)
6,7 l/100 km (extraurbano)",Frozen White,"Pelle totale, Nero",,2379,,,,,
SUV/Fuoristrada/Pick-up,5ad6c927-b821-4cf5-9b15-bdaf3190eabc,Diesel,Automatico,Nuovo,Mercedes-Benz,GLC 300,5,4x4,1950,5,4,Grigio,9,Euro 6,"5,7 l/100 km (comb.)
6,8 l/100 km (urbano)
5,2 l/100 km (extraurbano)",Grigio,"Pelle totale, Nero",Metallizzato,,,,,,
SUV/Fuoristrada/Pick-up,d47071e8-93ee-4ed1-a69f-2e8c9458674b,Diesel,Manuale,Nuovo,Ford,Ranger,4,4x4,1997,5,4,Bianco,6,Euro 6,"6,5 l/100 km (comb.)
7,3 l/100 km (urbano)
6 l/100 km (extraurbano)",,Pelle totale,,2359,,,,,
SUV/Fuoristrada/Pick-up,849c56e7-f2d1-4d36-9ce3-68b446e93a08,Diesel,Manuale,Nuovo,Mitsubishi,L200,4,4x4,2268,5,4,Grigio,6,Euro 6d-TEMP,"7,5 l/100 km (comb.)
8,6 l/100 km (urbano)
6,8 l/100 km (extraurbano)",,Pelle totale,Metallizzato,2045,,0,,,
SUV/Fuoristrada/Pick-up,57afee7c-7a5a-494f-81a9-c6be96b9b931,Diesel,Automatico,Nuovo,Mercedes-Benz,GLA 200,5,anteriore,1950,5,4,Grigio,8,Euro 6,"4,6 l/100 km (comb.)
5,5 l/100 km (urbano)
4,1 l/100 km (extraurbano)",Grigio,"Pelle totale, Nero",Metallizzato,,,,,,
SUV/Fuoristrada/Pick-up,f2b4eea5-0366-484f-8086-e9f426a488e8,Diesel,Automatico,Nuovo,Mercedes-Benz,GLA 200,5,anteriore,1950,5,4,Nero,8,Euro 6,"4,6 l/100 km (comb.)
5,5 l/100 km (urbano)
4,1 l/100 km (extraurbano)",Nero,"Pelle totale, Nero",Metallizzato,,,,,,
SUV/Fuoristrada/Pick-up,cd9113ce-e27d-4027-9fe9-2d01476cb499,Diesel,Automatico,Nuovo,BMW,X5,5,4x4,3000,,,Nero,8,Euro 6d-TEMP,,,"Pelle totale, Nero",,,Sì,,,,Sì
SUV/Fuoristrada/Pick-up,73a6aab7-3657-471f-80c0-b4e1e250ef67,Diesel,Automatico,Nuovo,BMW,X5,5,4x4,3000,,,Grigio,8,Euro 6d-TEMP,,,"Pelle totale, Nero",,,Sì,,,,Sì
SUV/Fuoristrada/Pick-up,bae528c2-8878-42e8-b900-0ef655994ad8,Diesel,Automatico,Nuovo,Volkswagen,Tiguan,5,4x4,1968,5,4,Argento,7,Euro 6d-TEMP,"4,9 l/100 km (comb.)
5,4 l/100 km (urbano)
4,6 l/100 km (extraurbano)",Argento riflesso,"Stoffa, Grigio",Metallizzato,,,,,,Sì
SUV/Fuoristrada/Pick-up,41a6ce7e-2ab8-4fdb-83e9-eb3b88b611e7,Diesel,Automatico,Nuovo,Alfa Romeo,Stelvio,5,4x4,2143,5,4,Nero,8,Euro 6d-TEMP,"5,6 l/100 km (comb.)
6,1 l/100 km (urbano)
5,1 l/100 km (extraurbano)",Nero Vulcano,"Pelle totale, Nero",Metallizzato,1750,,0,,,
SUV/Fuoristrada/Pick-up,2599c8ce-b456-4ad1-b673-cc559789293b,Diesel,Manuale,Nuovo,Dacia,Duster,5,anteriore,1461,5,4,Beige,6,Euro 6d-TEMP,"4,2 l/100 km (comb.)
4,7 l/100 km (urbano)
3,9 l/100 km (extraurbano)",Beige,,Metallizzato,1398,60 mese,,,,
SUV/Fuoristrada/Pick-up,9a68b271-30a7-4786-a188-e05045c2f826,Diesel,Manuale,Nuovo,Dacia,Duster,5,anteriore,1461,5,4,Arancione,6,Euro 6d-TEMP,"4,4 l/100 km (comb.)
4,5 l/100 km (urbano)
4,3 l/100 km (extraurbano)",Arancione,"Stoffa, Grigio",Metallizzato,1341,60 mese,,,,
SUV/Fuoristrada/Pick-up,e8824ca6-3d92-4e31-8112-38c2ebef7db1,Diesel,Automatico,Nuovo,Mercedes-Benz,GLC 300,5,4x4,1950,5,4,Nero,9,,"5,7 l/100 km (comb.)
6,8 l/100 km (urbano)
5,2 l/100 km (extraurbano)",Nero,"Pelle totale, Nero",Base,1845,24 mese,,,,
SUV/Fuoristrada/Pick-up,04328770-4c4b-4e34-bc4a-13e23c5b6a4b,Diesel,Automatico,Nuovo,Mercedes-Benz,GLC 300,5,4x4,1950,5,4,Bianco,9,,"5,8 l/100 km (comb.)
7,4 l/100 km (urbano)
5 l/100 km (extraurbano)",Bianco Polare,"Pelle totale, Nero",Base,1875,24 mese,,,,
SUV/Fuoristrada/Pick-up,855f5cd3-7444-4e4f-9ca4-68da77556b03,Diesel,Automatico,Nuovo,SsangYong,Korando,5,anteriore,1597,5,4,Bianco,6,Euro 6,"5 l/100 km (comb.)
5,4 l/100 km (urbano)
4,9 l/100 km (extraurbano)",Bianco,"Stoffa, Grigio",Base,1560,,,,,
SUV/Fuoristrada/Pick-up,a4a11099-8008-49b9-bdc5-4c005086a848,Diesel,Manuale,Nuovo,Mercedes-Benz,GLC 300,5,,1950,,,Grigio,,,,Grigio grafite,"Altro, Altro",,,,,,,
SUV/Fuoristrada/Pick-up,8289986f-d25c-45d1-9497-17108e4a9e54,Diesel,Automatico,Nuovo,Mercedes-Benz,GLE 300,5,4x4,1950,,,Nero,,,,Nero ossidiana,"Pelle totale, Nero",,,,,,,
SUV/Fuoristrada/Pick-up,87618c65-fd7f-4fd7-a0be-ad25e32938a8,Diesel,Manuale,Nuovo,Mercedes-Benz,GLB 200,5,,1950,,,Nero,,,,Vernice nero cosmo,"Altro, Altro",,,,,,,
SUV/Fuoristrada/Pick-up,15679000-dbbf-4e43-85d2-0748882bca0f,Diesel,Automatico,Nuovo,Volkswagen,T-Roc,5,4x4,1968,5,4,Grigio,7,Euro 6d-TEMP,"5,1 l/100 km (comb.)
5,6 l/100 km (urbano)
4,8 l/100 km (extraurbano)",Grigio urano,"Stoffa, Nero",,,,,Sì,,Sì
SUV/Fuoristrada/Pick-up,4c8c49d0-46e5-404c-9b14-2e0aded08062,Diesel,Manuale,Nuovo,Citroen,C5 Aircross,5,anteriore,1499,5,4,Grigio,6,Euro 6d-TEMP,"3,9 l/100 km (comb.)
4,4 l/100 km (urbano)
3,6 l/100 km (extraurbano)",STEEL GREY,"Stoffa, Nero",Metallizzato,1430,,,,,
SUV/Fuoristrada/Pick-up,c200274b-3847-4d67-a6e1-c76cc2c509eb,Diesel,Automatico,Nuovo,BMW,X5,5,4x4,2993,5,6,,8,Euro 6,"6,1 l/100 km (comb.)
6,7 l/100 km (urbano)
5,7 l/100 km (extraurbano)",,,Metallizzato,2185,,,,,
SUV/Fuoristrada/Pick-up,81a29e03-1112-4626-8512-ceba126423b4,Diesel,Automatico,Nuovo,Land Rover,Range Rover Sport,5,4x4,2993,5,6,Nero,8,Euro 6,"7,5 l/100 km (comb.)
10 l/100 km (urbano)
6 l/100 km (extraurbano)",Santorini Black,"Pelle totale, Nero",Metallizzato,,,,Sì,,
SUV/Fuoristrada/Pick-up,3cdc06a1-9cc8-42ba-8684-cacbb041d4bd,Diesel,Automatico,Nuovo,Jaguar,E-Pace,5,4x4,1999,5,4,Nero,9,Euro 6,"6 l/100 km (comb.)
7,7 l/100 km (urbano)
5 l/100 km (extraurbano)",Nero,"Stoffa, Nero",,,,,,,
SUV/Fuoristrada/Pick-up,1c8b7ac3-ebf1-4092-af6a-53a7b22f127d,Diesel,Automatico,Nuovo,Jaguar,E-Pace,5,4x4,1999,5,4,Bianco,9,Euro 6,"6 l/100 km (comb.)
7,7 l/100 km (urbano)
5 l/100 km (extraurbano)",Fuji White,"Stoffa, Nero",,,,,,,
SUV/Fuoristrada/Pick-up,5a843a0b-56b9-44f2-8072-121950533a2b,Diesel,Automatico,Nuovo,Land Rover,Defender,5,4x4,1999,5,4,Verde,8,Euro 6,"7,6 l/100 km (comb.)
8,4 l/100 km (urbano)
7,1 l/100 km (extraurbano)",Pangea Green,"Pelle totale, Grigio",Metallizzato,,,,,,
SUV/Fuoristrada/Pick-up,fed5cfaa-6360-44af-9e3e-bd382b0a4a2e,Diesel,Automatico,Nuovo,Land Rover,Defender,5,4x4,1999,5,4,Verde,8,Euro 6,"7,6 l/100 km (comb.)
8,4 l/100 km (urbano)
7,1 l/100 km (extraurbano)",Pangea Green,"Pelle totale, Nero",Metallizzato,,,,,,
SUV/Fuoristrada/Pick-up,7e1b3991-6fdb-456e-a85b-27c069f3b6d0,Diesel,Automatico,Nuovo,Land Rover,Range Rover Velar,5,4x4,1999,5,4,Grigio,8,Euro 6,"5,8 l/100 km (comb.)
6,7 l/100 km (urbano)
5,2 l/100 km (extraurbano)",Eiger Grey,"Pelle totale, Nero",Metallizzato,,,,,,
SUV/Fuoristrada/Pick-up,7e1b3991-6fdb-456e-a85b-27c069f3b6d0,Diesel,Automatico,Nuovo,Land Rover,Range Rover Velar,5,4x4,1999,5,4,Grigio,8,Euro 6,"5,8 l/100 km (comb.)
6,7 l/100 km (urbano)
5,2 l/100 km (extraurbano)",Eiger Grey,"Pelle totale, Nero",Metallizzato,,,,,,
SUV/Fuoristrada/Pick-up,dec85b28-d6f9-415e-accf-6800728c80ca,Diesel,Automatico,Nuovo,Land Rover,Defender,5,4x4,1999,5,4,Bronzo,8,Euro 6,"7,6 l/100 km (comb.)
8,4 l/100 km (urbano)
7,1 l/100 km (extraurbano)",Gondwana Sand,"Pelle totale, Nero",Metallizzato,,,,,,
SUV/Fuoristrada/Pick-up,c83b5bc1-33c4-4105-8d23-9bb85a35b242,Diesel,Automatico,Nuovo,Land Rover,Defender,5,4x4,1999,5,4,Grigio,8,Euro 6,"7,6 l/100 km (comb.)
8,4 l/100 km (urbano)
7,1 l/100 km (extraurbano)",Eiger Grey,"Pelle totale, Nero",Metallizzato,,,,,,
SUV/Fuoristrada/Pick-up,d855a22c-4706-434f-82df-80465d358fa7,Diesel,Automatico,Nuovo,Land Rover,Range Rover Velar,5,4x4,1999,5,4,Nero,8,Euro 6,"5,8 l/100 km (comb.)
6,7 l/100 km (urbano)
5,2 l/100 km (extraurbano)",Nero,"Pelle totale, Nero",,,,,,,
SUV/Fuoristrada/Pick-up,c87e6bbd-3886-4e9c-957e-86aec708742c,Diesel,Automatico,Nuovo,Land Rover,Range Rover Sport,5,4x4,2993,5,6,Nero,8,Euro 6,"7,5 l/100 km (comb.)
10 l/100 km (urbano)
6 l/100 km (extraurbano)",Santorini Black,"Pelle totale, Nero",Metallizzato,,,,Sì,,
SUV/Fuoristrada/Pick-up,6901d397-6bcc-4ffd-9bf6-bc605f8c7be1,Diesel,Automatico,Nuovo,Land Rover,Defender,5,4x4,1999,5,4,Nero,8,Euro 6,"7,6 l/100 km (comb.)
8,4 l/100 km (urbano)
7,1 l/100 km (extraurbano)",Santorini Black,"Pelle totale, Nero",Metallizzato,,,,,,
SUV/Fuoristrada/Pick-up,ca199b88-4963-43a2-a7c8-9512ce679d67,Diesel,Automatico,Nuovo,Jaguar,F-Pace,5,4x4,1999,5,4,Blu/Azzurro,8,Euro 6,"5,9 l/100 km (comb.)
6,8 l/100 km (urbano)
5,4 l/100 km (extraurbano)",Portofino Blue Met.,"Pelle totale, Beige",Metallizzato,,,,,,
SUV/Fuoristrada/Pick-up,37822a98-592c-4388-991d-42c484ab1b7c,Diesel,Automatico,Nuovo,Jaguar,E-Pace,5,4x4,1999,5,4,Grigio,9,Euro 6,"6 l/100 km (comb.)
7,7 l/100 km (urbano)
5 l/100 km (extraurbano)",Silicon Silver Premium,"Pelle totale, Nero",Metallizzato,,,,,,
SUV/Fuoristrada/Pick-up,8345c492-9619-40c4-817d-71d70f3c736a,Diesel,Automatico,Nuovo,Land Rover,Discovery,5,4x4,1999,5,4,Nero,8,Euro 6,"7,3 l/100 km (comb.)
8,4 l/100 km (urbano)
6,3 l/100 km (extraurbano)",Nero,"Pelle totale, Nero",,,,,,,
SUV/Fuoristrada/Pick-up,aea1fbb6-9914-4478-b7a4-0610589d2448,Diesel,Automatico,Nuovo,Land Rover,Discovery,5,4x4,1999,5,4,Grigio,8,Euro 6,"7,3 l/100 km (comb.)
8,4 l/100 km (urbano)
6,3 l/100 km (extraurbano)",Carpathian Grey Premium,"Pelle totale, Nero",Perlato,,,,,,
SUV/Fuoristrada/Pick-up,26fa22ae-d8e1-448f-9116-098dee1f9a1a,Diesel,Automatico,Nuovo,Land Rover,Range Rover,5,4x4,2993,5,6,Nero,8,Euro 6,"7,6 l/100 km (comb.)
10,2 l/100 km (urbano)
6,1 l/100 km (extraurbano)",Nero,"Pelle totale, Bianco",,,,,Sì,,
SUV/Fuoristrada/Pick-up,b65c78b4-8b0f-4bef-be45-bed7cc8ddd59,Diesel,Automatico,Nuovo,Land Rover,Range Rover Sport,5,4x4,2993,5,6,Grigio,8,Euro 6,"7,5 l/100 km (comb.)
10 l/100 km (urbano)
6 l/100 km (extraurbano)",Eiger Grey,"Pelle totale, Bianco",Metallizzato,,,,Sì,,
SUV/Fuoristrada/Pick-up,6c304fa9-05f2-4e84-b5a0-af014ad6e14d,Diesel,Automatico,Nuovo,Land Rover,Range Rover Velar,5,4x4,2993,5,6,Oro,8,Euro 6,"6,6 l/100 km (comb.)
7,4 l/100 km (urbano)
5,8 l/100 km (extraurbano)",Aruba Premium Micatallic,"Pelle totale, Nero",Perlato,,,,,,
SUV/Fuoristrada/Pick-up,d51ba948-6299-4bd1-9a9a-d5f0af4ffc3f,Diesel,Automatico,Nuovo,Land Rover,Discovery,5,4x4,1999,5,4,Grigio,8,Euro 6,"7,3 l/100 km (comb.)
8,4 l/100 km (urbano)
6,3 l/100 km (extraurbano)",Silicon Silver Premium,"Pelle totale, Nero",Perlato,,,,,,
SUV/Fuoristrada/Pick-up,df6a5e88-e0c8-4801-89b3-303808c00400,Diesel,Automatico,Nuovo,Jaguar,F-Pace,5,4x4,1999,5,4,Nero,8,Euro 6,"5,7 l/100 km (comb.)
6,6 l/100 km (urbano)
5,2 l/100 km (extraurbano)",Santorini Black,"Pelle totale, Nero",Metallizzato,,,,,,
SUV/Fuoristrada/Pick-up,1f6b2197-516a-4169-8036-5d1904d3ca45,Diesel,Manuale,Nuovo,Land Rover,Range Rover Evoque,5,anteriore,1999,5,4,Nero,6,Euro 6,"5,4 l/100 km (comb.)
6,3 l/100 km (urbano)
4,9 l/100 km (extraurbano)",Nero,"Stoffa, Nero",,,,,,,
SUV/Fuoristrada/Pick-up,d140a50f-4035-42d1-b692-dfeb9845bcf9,Diesel,Automatico,Nuovo,Jaguar,F-Pace,5,4x4,1999,5,4,Grigio,8,Euro 6,"5,9 l/100 km (comb.)
6,8 l/100 km (urbano)
5,4 l/100 km (extraurbano)",Carpathian Grey Premium,"Pelle totale, Nero",Perlato,,,,,,
SUV/Fuoristrada/Pick-up,99181dcc-e79b-4fac-8c83-6c16c7d95006,Diesel,Automatico,Nuovo,Mercedes-Benz,G 350,5,4x4,2925,5,6,Nero,9,Euro 6d-TEMP,"9,6 l/100 km (comb.)
10,8 l/100 km (urbano)
8,9 l/100 km (extraurbano)",Obsidian Black,"Pelle totale, Rosso",Metallizzato,2451,,,,,Sì
SUV/Fuoristrada/Pick-up,f5c7c68b-3b77-4d0b-914a-4d0c36ff0082,Diesel,Automatico,Nuovo,MINI,Cooper D Countryman,5,4x4,1995,5,4,Blu/Azzurro,8,Euro 6,"4,7 l/100 km (comb.)
5,2 l/100 km (urbano)
4,4 l/100 km (extraurbano)",Blu,Pelle totale,Metallizzato,,,,,,
SUV/Fuoristrada/Pick-up,aae4656d-29a6-4bdd-8acf-137f7356419e,Diesel,Automatico,Nuovo,MINI,Cooper D Countryman,5,4x4,1995,5,4,Blu/Azzurro,8,Euro 6,"4,7 l/100 km (comb.)
5,2 l/100 km (urbano)
4,4 l/100 km (extraurbano)",Blu,Pelle totale,Metallizzato,,,,,,
SUV/Fuoristrada/Pick-up,ca6496ff-de4f-4b51-94ac-d569e0ee3568,Diesel,Manuale,Nuovo,Mercedes-Benz,GLB 200,5,,1950,,,Nero,,,,Vernice nero cosmo,"Pelle parziale, Nero",,,,,,,
SUV/Fuoristrada/Pick-up,bb45b5ad-2471-41eb-aa6e-965448d10461,Diesel,Automatico,Nuovo,Volkswagen,Amarok,4,4x4,2967,5,6,Grigio,,Euro 6,"8,8 l/100 km (comb.)
9,9 l/100 km (urbano)
8,2 l/100 km (extraurbano)",Grigio Indio Opaco,,,,,,,,
