File,id_annuncio,Marca,Carrozzeria,Alimentazione,Tipo di veicolo,Modello,Cilindrata,Tipo di cambio,Colore esterno,Posti a sedere,Porte,Cilindri,Tipo di unità,Marce,Classe emissioni,Rivestimenti,Tipo di vernice,Peso a vuoto,Usato Garantito,Proprietari,Consumo carburante,Emissioni di CO2,Veicolo per non fumatori,Tagliandi certificati,Per neopatentati,_ - _ - Prossima revisione,Ultimo tagliando,_ - _ - Prossima nuova,_ - _ - Numero della chiave
singole_pagine_fuel_D_condition_S.json,be0c923d-0e70-4f56-8069-2bbb5f6cf7e0,Volkswagen,City car,Diesel,KM0,Polo,1598 ,Automatico,Blu/Azzurro,5,5,4,anteriore,6,,"Altro, Altro",,,Sì,,"3,9 l/100 km (comb.)
4,3 l/100 km (urbano)
3,7 l/100 km (extraurbano)",103,,,,,,,
singole_pagine_fuel_D_condition_S.json,32a14746-0454-4f46-a837-13381342096b,Volkswagen,City car,Diesel,KM0,Polo,1598 ,Automatico,Argento,5,5,4,anteriore,6,,"Altro, Altro",,,Sì,,"3,9 l/100 km (comb.)
4,3 l/100 km (urbano)
3,7 l/100 km (extraurbano)",103,,,,,,,
singole_pagine_fuel_D_condition_S.json,0a8bb1a3-f677-48cd-bf0b-2967f9bf3be2,Volkswagen,City car,Diesel,KM0,Polo,1598 ,Automatico,Bianco,5,5,4,anteriore,6,,"Altro, Altro",,,Sì,,"3,9 l/100 km (comb.)
4,3 l/100 km (urbano)
3,7 l/100 km (extraurbano)",103,,,,,,,
singole_pagine_fuel_D_condition_S.json,ab27eb05-6c5b-4969-99a7-d9c191d91d37,Volkswagen,City car,Diesel,KM0,Polo,1598 ,Automatico,Grigio,5,5,4,anteriore,6,,"Altro, Altro",,,Sì,,"3,9 l/100 km (comb.)
4,3 l/100 km (urbano)
3,7 l/100 km (extraurbano)",103,,,,,,,
singole_pagine_fuel_D_condition_S.json,129dacb9-efb9-40f0-8d30-8cf57d6390b1,Volkswagen,City car,Diesel,KM0,Polo,1598 ,Automatico,Nero,5,5,,anteriore,,,"Altro, Nero",Base,,,,"3,9 l/100 km (comb.)
4,3 l/100 km (urbano)
3,7 l/100 km (extraurbano)",103,,,,,,,
singole_pagine_fuel_D_condition_S.json,7d441039-fdea-4807-ae4f-710b1f9bd7b2,Volkswagen,City car,Diesel,KM0,Polo,1598 ,Automatico,Nero,5,5,,anteriore,,,"Altro, Nero",Base,,,,"3,9 l/100 km (comb.)
4,3 l/100 km (urbano)
3,7 l/100 km (extraurbano)",103,,,,,,,
singole_pagine_fuel_D_condition_S.json,d3c7ee55-2798-4e98-802a-5fe5aa09c112,Fiat,City car,Diesel,KM0,Fullback,,Manuale,Grigio,,,,,,,"Pelle totale, Grigio",Metallizzato,,,,,,,,,,,,
singole_pagine_fuel_D_condition_S.json,cc10e269-8553-4cd7-8d3d-1c35235bd9ef,Volkswagen,City car,Diesel,KM0,Touran,1968 ,Automatico,Grigio,7,5,,anteriore,,,"Altro, Nero",Base,,,,"5,6 l/100 km (comb.)
6,9 l/100 km (urbano)
4,5 l/100 km (extraurbano)",119,,,,,,,
singole_pagine_fuel_D_condition_S.json,cc2aeecf-cb41-4e48-9869-80f3f8a7f80a,Alfa Romeo,City car,Diesel,KM0,MiTo,1248 ,Manuale,Grigio,5,3,4,anteriore,5,Euro 6,"Stoffa, Nero",Metallizzato,1225,,1,"3,4 l/100 km (comb.)
4,3 l/100 km (urbano)
2,9 l/100 km (extraurbano)",89,Sì,,,,,,
singole_pagine_fuel_D_condition_S.json,241d4c81-4562-485d-988c-35c80a8ca58c,Opel,City car,Diesel,KM0,Astra,1499 ,Manuale,Grigio,5,5,3,anteriore,5,Euro 6,"Stoffa, Grigio",Metallizzato,,24 mese,,"4 l/100 km (comb.)
3 l/100 km (urbano)
3 l/100 km (extraurbano)",90,,,,,,,
singole_pagine_fuel_D_condition_S.json,ae187fa0-3f56-451c-b7f7-04e4cdf62f39,Opel,City car,Diesel,KM0,Astra,1499 ,Manuale,Grigio,5,5,3,anteriore,5,Euro 6,"Stoffa, Grigio",Metallizzato,,24 mese,,"4 l/100 km (comb.)
3 l/100 km (urbano)
3 l/100 km (extraurbano)",90,,,,,,,
singole_pagine_fuel_D_condition_S.json,b7fa5910-8605-41a2-a351-bb55cd645cae,Volkswagen,City car,Diesel,KM0,Sharan,1968 ,Automatico,Nero,7,5,,anteriore,,Euro 6,,Base,,,,"5,2 l/100 km (comb.)
5,9 l/100 km (urbano)
4,7 l/100 km (extraurbano)",137,,,,,,,
singole_pagine_fuel_D_condition_S.json,312841c7-182f-4b1b-9d5b-d068b16b3206,Volkswagen,City car,Diesel,KM0,Polo,1598 ,Manuale,Nero,5,5,4,anteriore,5,,"Altro, Altro",,,Sì,,"3,7 l/100 km (comb.)
4,2 l/100 km (urbano)
3,4 l/100 km (extraurbano)",97,,,,,,,
singole_pagine_fuel_D_condition_S.json,a6d6fb37-6cac-47fa-b9cd-f4ab5ab61c66,Volkswagen,City car,Diesel,KM0,Polo,1598 ,Automatico,Grigio,5,5,4,anteriore,6,,"Altro, Altro",,,Sì,,"3,9 l/100 km (comb.)
4,3 l/100 km (urbano)
3,7 l/100 km (extraurbano)",103,,,,,,,
singole_pagine_fuel_D_condition_S.json,efa6e5fa-ddbd-481a-89b9-7529d33d55e4,Peugeot,City car,Diesel,KM0,208,1560 ,Manuale,Grigio,5,5,4,anteriore,5,Euro 6,"Pelle scamosciata, Grigio",Metallizzato,,,1,"3,5 l/100 km (comb.)
3,9 l/100 km (urbano)
3,2 l/100 km (extraurbano)",90,,,,,,,
singole_pagine_fuel_D_condition_S.json,83a0f33a-ba9f-4d96-820c-d23e31fa38e5,Nissan,City car,Diesel,KM0,Micra,1461 ,Manuale,Argento,5,5,4,anteriore,5,,"Stoffa, Grigio",Metallizzato,,Sì,,,,,,,,,,
singole_pagine_fuel_D_condition_S.json,1376b1ee-193f-4cc3-9fc7-36adf7116828,Nissan,City car,Diesel,KM0,Micra,1498 ,Manuale,Grigio,5,5,4,anteriore,5,,,Metallizzato,,,,,,,,,,,,
singole_pagine_fuel_D_condition_S.json,e550dcff-3ee2-4c6e-b01e-5e9ca4a2cbbb,Fiat,City car,Diesel,KM0,500,1248 ,Manuale,Nero,4,3,4,anteriore,5,Euro 6,"Pelle parziale, Grigio",Metallizzato,980,,,"3,4 l/100 km (comb.)
4,1 l/100 km (urbano)
3 l/100 km (extraurbano)",89,Sì,,,,,,
singole_pagine_fuel_D_condition_S.json,b8f9080e-7f42-4c2e-9650-b13571f1dc63,Volkswagen,City car,Diesel,KM0,Polo,1598 ,Manuale,Bianco,5,5,4,anteriore,5,,"Altro, Altro",,,Sì,,"3,7 l/100 km (comb.)
4,2 l/100 km (urbano)
3,4 l/100 km (extraurbano)",97,,,,,,,
singole_pagine_fuel_D_condition_S.json,95d26a5b-767b-42dc-93b1-ccee3f317bde,Volkswagen,City car,Diesel,KM0,Polo,1598 ,Manuale,Argento,5,5,4,anteriore,5,,"Altro, Altro",,,Sì,,"3,7 l/100 km (comb.)
4,2 l/100 km (urbano)
3,4 l/100 km (extraurbano)",97,,,,,,,
singole_pagine_fuel_D_condition_S.json,f49a7a79-2f39-4088-bd21-b29a3e1af01a,BMW,City car,Diesel,KM0,116,1500 ,Automatico,Bianco,,5,,anteriore,7,,"Pelle parziale, Nero",,,Sì,,,,,Sì,,,,,
singole_pagine_fuel_D_condition_S.json,4f0c9432-cdd2-4450-aca4-ab5395cbcfa5,Fiat,City car,Diesel,KM0,500L,1300 ,Manuale,Marrone,5,5,4,anteriore,,Euro 6,"Stoffa, Nero",Base,,24 mese,,,,,,,,,,
singole_pagine_fuel_D_condition_S.json,97bc090b-5166-41be-b100-7b8833690334,Volkswagen,City car,Diesel,KM0,Polo,1598 ,Manuale,Bianco,5,5,4,anteriore,5,,"Altro, Altro",,,Sì,,"3,8 l/100 km (comb.)
4,2 l/100 km (urbano)
3,5 l/100 km (extraurbano)",99,,,,,,,
singole_pagine_fuel_D_condition_S.json,6c1dfc0b-b84e-4151-bc1e-35b8c806c0f0,Peugeot,City car,Diesel,KM0,208,1560 ,Manuale,Nero,5,5,4,anteriore,5,Euro 6,Nero,,,,,"3,5 l/100 km (comb.)
3,9 l/100 km (urbano)
3,2 l/100 km (extraurbano)",90,,,,,,,
singole_pagine_fuel_D_condition_S.json,aa9ebb4f-8ba6-4a59-842c-b2d75f9a54c3,Alfa Romeo,City car,Diesel,KM0,MiTo,1248 ,Manuale,Rosso,5,3,4,anteriore,5,Euro 6,"Stoffa, Nero",Base,1225,,,"3,4 l/100 km (comb.)
4,3 l/100 km (urbano)
2,9 l/100 km (extraurbano)",89,,,,,,,
singole_pagine_fuel_D_condition_S.json,8d737845-4831-42d3-b827-2b677b8ec061,Opel,City car,Diesel,KM0,Astra,1598 ,Manuale,Grigio,5,5,4,,6,,Stoffa,,,,1,"3,5 l/100 km (comb.)
4 l/100 km (urbano)
3,3 l/100 km (extraurbano)",,,,,,,,
singole_pagine_fuel_D_condition_S.json,30792a8a-b6b2-4d23-979b-ed222523e980,Volkswagen,City car,Diesel,KM0,,1968 ,Automatico,Beige,5,5,,anteriore,,,"Altro, Nero",Base,,,1,,155,,,,,,,
singole_pagine_fuel_D_condition_S.json,27c40587-dab7-425c-9d39-a78c70157ecb,Volkswagen,City car,Diesel,KM0,Polo,1598 ,Manuale,Argento,5,5,4,anteriore,5,,"Altro, Altro",,,Sì,,"3,8 l/100 km (comb.)
4,2 l/100 km (urbano)
3,5 l/100 km (extraurbano)",99,,,,,,,
singole_pagine_fuel_D_condition_S.json,3d5a141a-59de-492d-8917-17e91e8bd1e3,MINI,City car,Diesel,KM0,One D,1496 ,Manuale,Verde,4,3,,anteriore,,Euro 6,"Altro, Altro",Base,,,,"3,8 l/100 km (comb.)
4,3 l/100 km (urbano)
3,4 l/100 km (extraurbano)",99,,,,,,,
singole_pagine_fuel_D_condition_S.json,054bb3c9-580a-4eb0-aef2-39d5b443a3a5,MINI,City car,Diesel,KM0,Cooper D,1496 ,Automatico,Blu/Azzurro,5,5,,anteriore,,Euro 6,"Altro, Altro",Base,,,,"3,9 l/100 km (comb.)
4,4 l/100 km (urbano)
3,6 l/100 km (extraurbano)",103,,,,,,,
singole_pagine_fuel_D_condition_S.json,bf682ac9-9907-4741-aaa1-fc453e34d57a,MINI,City car,Diesel,KM0,Cooper,1496 ,Manuale,Blu/Azzurro,4,3,3,anteriore,6,Euro 6,"Stoffa, Nero",Metallizzato,1240,36 mese,,"3,9 l/100 km (comb.)
4,4 l/100 km (urbano)
3,6 l/100 km (extraurbano)",102,,,,,,,
singole_pagine_fuel_D_condition_S.json,c5e386e3-949b-46bf-8d14-a3e954476ae8,BMW,City car,Diesel,KM0,218,1995 ,Automatico,Bianco,5,5,,anteriore,,,"Altro, Altro",Base,,,,"4,3 l/100 km (comb.)
5,2 l/100 km (urbano)
3,8 l/100 km (extraurbano)",116,,,,,,,
singole_pagine_fuel_D_condition_S.json,d5ddee7e-fd48-4a02-b585-96b8186717a7,BMW,City car,Diesel,KM0,218,1995 ,Automatico,Grigio,7,5,,anteriore,,,"Altro, Altro",Metallizzato,,,,"4,6 l/100 km (comb.)
5,3 l/100 km (urbano)
4,2 l/100 km (extraurbano)",121,,,,,,,
singole_pagine_fuel_D_condition_S.json,b4c23848-2709-4534-9934-d5f11938edef,MINI,City car,Diesel,KM0,Cooper D,1500 ,Automatico,Nero,,3,,anteriore,7,Euro 6,"Pelle totale, Nero",,,Sì,1,,,,Sì,,,,,
singole_pagine_fuel_D_condition_S.json,1eb5cfdd-5ef8-4f47-bd3f-1dac302fb7e3,SEAT,City car,Diesel,KM0,Leon,1598 ,Automatico,Grigio,5,5,4,anteriore,7,Euro 6,"Stoffa, Nero",Metallizzato,,,,"4,1 l/100 km (comb.)
4,3 l/100 km (urbano)
4 l/100 km (extraurbano)",108,,,,,,,
singole_pagine_fuel_D_condition_S.json,be294c24-cfc4-4ab3-a0a4-40a10c179d2c,BMW,Cabrio,Diesel,KM0,420,1995 ,Automatico,Nero,4,2,4,posteriore,8,,Pelle totale,Metallizzato,1825,Sì,,"5,1 l/100 km (comb.)
5,9 l/100 km (urbano)
4,6 l/100 km (extraurbano)",134,,,,,,,
singole_pagine_fuel_D_condition_S.json,1f3f227b-5320-4aae-b6cc-03b56365a470,BMW,Cabrio,Diesel,KM0,420,1995 ,Automatico,Bianco,4,2,4,posteriore,8,Euro 6,"Pelle totale, Nero",,1825,Sì,,"5,2 l/100 km (comb.)
6,2 l/100 km (urbano)
4,7 l/100 km (extraurbano)",138,,,,,,,
singole_pagine_fuel_D_condition_S.json,bd6857fa-6585-49bb-99ab-a5b991be2306,BMW,Cabrio,Diesel,KM0,420,1995 ,Automatico,Bianco,4,2,4,posteriore,8,Euro 6,"Pelle totale, Nero",Base,1825,Sì,,"5,2 l/100 km (comb.)
6,2 l/100 km (urbano)
4,7 l/100 km (extraurbano)",138,,,,,,,
singole_pagine_fuel_D_condition_S.json,2adfbb82-c045-43e2-82f6-631719418747,BMW,Cabrio,Diesel,KM0,420,1995 ,Automatico,Nero,4,2,4,posteriore,8,,Pelle totale,Metallizzato,1825,Sì,,"5,1 l/100 km (comb.)
5,9 l/100 km (urbano)
4,6 l/100 km (extraurbano)",134,,,,,,,
singole_pagine_fuel_D_condition_S.json,25df9043-c7eb-4de2-82eb-a32fc775568b,Jeep,Cabrio,Diesel,KM0,Wrangler,2143 ,Automatico,Nero,5,5,4,4x4,8,,"Pelle totale, Altro",,,24 mese,,"7,6 l/100 km (comb.)
9,6 l/100 km (urbano)
6,5 l/100 km (extraurbano)",192,,,,,,,
singole_pagine_fuel_D_condition_S.json,c2f1884d-4bda-438a-8dc1-be35895970f9,Mercedes-Benz,Cabrio,Diesel,KM0,C 220,2143 ,Automatico,Nero,4,2,4,4x4,9,Euro 6,"Pelle totale, Nero",Metallizzato,,,,"5,2 l/100 km (comb.)
6,1 l/100 km (urbano)
4,9 l/100 km (extraurbano)",136,,,,,,,
singole_pagine_fuel_D_condition_S.json,16c361dd-dcd9-40af-97a6-b2628ebcc4d3,BMW,Cabrio,Diesel,KM0,218,1995 ,Automatico,Nero,4,2,4,posteriore,8,Euro 6,"Stoffa, Grigio",Metallizzato,1640,,,"4,7 l/100 km (comb.)
5,4 l/100 km (urbano)
4,4 l/100 km (extraurbano)",123,,,,,,,
singole_pagine_fuel_D_condition_S.json,7e24ea08-3e05-4edd-8270-5aee6518e294,BMW,Cabrio,Diesel,KM0,218,1995 ,Automatico,Nero,4,2,4,posteriore,8,Euro 6,"Stoffa, Grigio",Metallizzato,1640,,,"4,7 l/100 km (comb.)
5,4 l/100 km (urbano)
4,4 l/100 km (extraurbano)",123,,,,,,,
singole_pagine_fuel_D_condition_S.json,52292af3-a45e-43e8-b2f8-2933fb4ab2c7,MINI,Cabrio,Diesel,KM0,Cooper SD Cabrio,1995 ,Automatico,Argento,4,3,4,anteriore,8,Euro 6,"Pelle totale, Nero",Metallizzato,1380,24 mese,,"4,4 l/100 km (comb.)
4,9 l/100 km (urbano)
4,1 l/100 km (extraurbano)",114,,,,,,,
singole_pagine_fuel_D_condition_S.json,c96f0ec0-e2c1-4735-96d7-958abbee67f5,Audi,Cabrio,Diesel,KM0,A5,1968 ,Automatico,Nero,4,2,4,4x4,7,Euro 6,"Pelle parziale, Nero",Metallizzato,1835,48 mese,1,"5,1 l/100 km (comb.)
5,9 l/100 km (urbano)
4,7 l/100 km (extraurbano)",137,Sì,Sì,,11/2023,,,
singole_pagine_fuel_D_condition_S.json,0a9a8353-7fe2-46c2-a9d1-3dc094a6be8b,Audi,Cabrio,Diesel,KM0,A5,1968 ,Automatico,Nero,4,2,4,4x4,7,Euro 6,"Pelle parziale, Nero",Metallizzato,1835,48 mese,1,"5,1 l/100 km (comb.)
5,9 l/100 km (urbano)
4,7 l/100 km (extraurbano)",137,Sì,Sì,,11/2023,,,
singole_pagine_fuel_D_condition_S.json,e047113b-3f4d-43b9-a79d-1d7f13459b00,Mercedes-Benz,Cabrio,Diesel,KM0,C 220,1950 ,Automatico,Nero,4,2,4,4x4,9,Euro 6,"Pelle totale, Nero",Metallizzato,,,,"5,2 l/100 km (comb.)
6,1 l/100 km (urbano)
4,9 l/100 km (extraurbano)",136,,,,,,,
singole_pagine_fuel_D_condition_S.json,53ed7b9b-33ef-4eef-aa5e-03c89d241f92,Audi,Cabrio,Diesel,KM0,A5,1968 ,Automatico,Blu/Azzurro,6,2,4,anteriore,7,Euro 6,"Stoffa, Nero",Metallizzato,,,1,"4,5 l/100 km (comb.)
5,2 l/100 km (urbano)
4,1 l/100 km (extraurbano)",118,,,,,,,
singole_pagine_fuel_D_condition_S.json,25be7125-cee8-4235-95a6-1ec9d87c722c,BMW,Cabrio,Diesel,KM0,218,1995 ,Automatico,Bianco,4,2,,posteriore,,,"Pelle totale, Nero",Base,,,,"4,7 l/100 km (comb.)
5,4 l/100 km (urbano)
4,4 l/100 km (extraurbano)",123,,,,,,,
singole_pagine_fuel_D_condition_S.json,558b5c4f-57c4-4de6-b587-3b32810c7ab3,Audi,Cabrio,Diesel,KM0,A5,1968 ,Automatico,Nero,4,2,4,4x4,7,Euro 6,Nero,,1835,12 mese,,"5,1 l/100 km (comb.)
5,9 l/100 km (urbano)
4,7 l/100 km (extraurbano)",138,,,,,,,
singole_pagine_fuel_D_condition_S.json,0be1b139-4e72-40ed-91f0-1c5c95907837,MINI,Cabrio,Diesel,KM0,Cooper D Cabrio,1496 ,Automatico,Bianco,4,3,,anteriore,,Euro 6,"Pelle totale, Altro",Base,,,,"4,2 l/100 km (comb.)
4,8 l/100 km (urbano)
3,9 l/100 km (extraurbano)",111,,,,,,,
singole_pagine_fuel_D_condition_S.json,e81ad191-d6fe-4e8d-9be7-afc7e453b9e4,Audi,Cabrio,Diesel,KM0,A5,1968 ,Automatico,Bianco,4,2,4,anteriore,7,,"Pelle totale, Altro",Metallizzato,,,1,"4,6 l/100 km (comb.)
5,2 l/100 km (urbano)
4,3 l/100 km (extraurbano)",123,,,,,,,
singole_pagine_fuel_D_condition_S.json,440aa214-e9da-4e03-a518-27f5c6774435,Mercedes-Benz,Cabrio,Diesel,KM0,C 220,2143 ,Automatico,Grigio,4,2,4,4x4,9,Euro 6,"Pelle totale, Nero",Metallizzato,,,,"5,2 l/100 km (comb.)
6,1 l/100 km (urbano)
4,9 l/100 km (extraurbano)",136,,,,,,,
singole_pagine_fuel_D_condition_S.json,533bde6b-8d54-4624-84e6-3f4d3f008253,MINI,Cabrio,Diesel,KM0,Cooper D Cabrio,1496 ,Automatico,Grigio,4,3,,anteriore,,Euro 6,"Pelle totale, Altro",Metallizzato,,,,"4,2 l/100 km (comb.)
4,8 l/100 km (urbano)
3,9 l/100 km (extraurbano)",111,,,,,,,
singole_pagine_fuel_D_condition_S.json,4259c3e1-36ea-4816-b444-0eb5c400b468,MINI,Cabrio,Diesel,KM0,Cooper D Cabrio,1496 ,Automatico,Grigio,4,3,3,anteriore,6,Euro 6,,Metallizzato,1320,Sì,1,"4,2 l/100 km (comb.)
4,8 l/100 km (urbano)
3,9 l/100 km (extraurbano)",111,,,,,,,
singole_pagine_fuel_D_condition_S.json,5ec5f4b0-fbeb-4d36-82ad-6cde2f56d4f2,Mercedes-Benz,Cabrio,Diesel,KM0,C 220,2143 ,Automatico,Nero,4,2,4,4x4,9,Euro 6d-TEMP,"Pelle parziale, Nero",Metallizzato,1805,24 mese,1,"5,2 l/100 km (comb.)
6,4 l/100 km (urbano)
4,5 l/100 km (extraurbano)",136,,,,,,,
singole_pagine_fuel_D_condition_S.json,a0dc9261-07f1-4382-9b26-215cec7a8f44,Audi,Cabrio,Diesel,KM0,A3,1598 ,Manuale,Bianco,4,2,4,anteriore,6,Euro 6,"Stoffa, Altro",,,Sì,,"4,2 l/100 km (comb.)
4,7 l/100 km (urbano)
3,9 l/100 km (extraurbano)",110,,,,,,,
singole_pagine_fuel_D_condition_S.json,ec8b61d3-dc5f-4a54-9fed-6870b69021ed,Audi,Cabrio,Diesel,KM0,A5,1968 ,Automatico,Nero,6,2,4,4x4,7,Euro 6d-TEMP,"Pelle totale, Altro",Metallizzato,,,1,"5,1 l/100 km (comb.)
5,9 l/100 km (urbano)
4,7 l/100 km (extraurbano)",138,,,,,,,
singole_pagine_fuel_D_condition_S.json,01d788ac-d5d2-4ba5-877c-7dcac0e4097b,MINI,Cabrio,Diesel,KM0,Cooper D Cabrio,1496 ,Automatico,,4,3,3,anteriore,6,Euro 6,,Metallizzato,1320,,1,"4,2 l/100 km (comb.)
4,8 l/100 km (urbano)
3,9 l/100 km (extraurbano)",111,,,,,,,
singole_pagine_fuel_D_condition_S.json,19e480ff-c5fa-4580-9e9c-a4cf679d3d97,BMW,Cabrio,Diesel,KM0,840,2993 ,Automatico,Nero,4,2,6,4x4,8,Euro 6,"Pelle totale, Marrone",Metallizzato,2030,,1,"5,9 l/100 km (comb.)
7,3 l/100 km (urbano)
5,1 l/100 km (extraurbano)",155,,,,,,,
singole_pagine_fuel_D_condition_S.json,43f11a3f-164c-4273-a12a-dd604809c23e,MINI,Cabrio,Diesel,KM0,Cooper SD Cabrio,1995 ,Automatico,Grigio,4,3,4,anteriore,8,Euro 6,"Pelle totale, Nero",Metallizzato,1380,24 mese,,"4,4 l/100 km (comb.)
4,9 l/100 km (urbano)
4,1 l/100 km (extraurbano)",114,,,,,,,
